,Time,BUT
0,1e-13,1.7486107460362667e-17
1,2e-13,4.52292549397879e-17
2,3.0000000000000003e-13,7.683732109416107e-17
3,4e-13,1.0987288437726573e-16
4,5e-13,1.4614365718099794e-16
5,6.000000000000001e-13,1.7890263863853408e-16
6,7e-13,2.0664527955147169e-16
7,8e-13,2.3618949928321247e-16
8,9.000000000000001e-13,2.6161895957615005e-16
9,1e-12,2.7816704244482646e-16
10,1.1000000000000002e-12,2.905515810129022e-16
11,1.2000000000000001e-12,3.0908261676678653e-16
12,1.3000000000000001e-12,3.2916828891663567e-16
13,1.4e-12,3.470578436662161e-16
14,1.5e-12,3.681203436141459e-16
15,1.6e-12,3.7868565885160335e-16
16,1.7000000000000002e-12,3.772522958171011e-16
17,1.8000000000000002e-12,3.7412331604952323e-16
18,1.9e-12,3.7432199322785353e-16
19,2e-12,3.8193511096325936e-16
20,2.1000000000000003e-12,3.8739938180655863e-16
21,2.2000000000000003e-12,3.923869953869947e-16
22,2.3000000000000003e-12,4.0502404983070624e-16
23,2.4000000000000003e-12,4.2377429500130916e-16
24,2.5000000000000003e-12,4.404082918759587e-16
25,2.6000000000000002e-12,4.633458601601985e-16
26,2.7000000000000002e-12,4.826757321923007e-16
27,2.8e-12,4.93802531456275e-16
28,2.9e-12,5.088530266362756e-16
29,3e-12,5.2449320325193865e-16
30,3.1e-12,5.397616252046458e-16
31,3.2e-12,5.548809076608141e-16
32,3.3e-12,5.743233319568723e-16
33,3.4000000000000005e-12,6.00846965907173e-16
34,3.5000000000000004e-12,6.32572709023127e-16
35,3.6000000000000004e-12,6.617443149162763e-16
36,3.7e-12,6.755591558560699e-16
37,3.8e-12,6.953662139093667e-16
38,3.9e-12,7.205784946119562e-16
39,4e-12,7.480190668125602e-16
40,4.100000000000001e-12,7.76142080288249e-16
41,4.200000000000001e-12,8.081557416103172e-16
42,4.300000000000001e-12,8.418808744539637e-16
43,4.400000000000001e-12,8.720004657278829e-16
44,4.500000000000001e-12,8.818110944063186e-16
45,4.6000000000000006e-12,8.913601074107167e-16
46,4.7000000000000006e-12,8.988679286586445e-16
47,4.8000000000000005e-12,9.153432762612847e-16
48,4.9000000000000005e-12,9.296751889738166e-16
49,5.0000000000000005e-12,9.416404925405417e-16
50,5.1000000000000005e-12,9.473713919685767e-16
51,5.2000000000000005e-12,9.523735698603068e-16
52,5.3000000000000004e-12,9.67228778373531e-16
53,5.4000000000000004e-12,9.880137622179625e-16
54,5.5e-12,1.0057217754077653e-15
55,5.6e-12,1.0132189089318109e-15
56,5.7e-12,1.0131048891361089e-15
57,5.8e-12,1.0096539568247083e-15
58,5.9e-12,1.01587888294061e-15
59,6e-12,1.0154894338728794e-15
60,6.1e-12,1.0095191312049304e-15
61,6.2e-12,1.0102943823789963e-15
62,6.3e-12,1.019647493561058e-15
63,6.4e-12,1.041483708025676e-15
64,6.5e-12,1.0702495416056113e-15
65,6.6e-12,1.09237577121036e-15
66,6.7e-12,1.107691411526268e-15
67,6.800000000000001e-12,1.1146677652805306e-15
68,6.900000000000001e-12,1.124861550560594e-15
69,7.000000000000001e-12,1.148171471677627e-15
70,7.100000000000001e-12,1.1758988942936376e-15
71,7.200000000000001e-12,1.1862093813429599e-15
72,7.3e-12,1.1836613515091634e-15
73,7.4e-12,1.1834034451077872e-15
74,7.5e-12,1.189839727264966e-15
75,7.6e-12,1.2103704727824941e-15
76,7.7e-12,1.217028199803353e-15
77,7.8e-12,1.2222152122663955e-15
78,7.9e-12,1.2445463769793358e-15
79,8e-12,1.2560120706561415e-15
80,8.100000000000001e-12,1.2474797057249462e-15
81,8.200000000000001e-12,1.241457385494236e-15
82,8.300000000000001e-12,1.2426644683177854e-15
83,8.400000000000001e-12,1.242747814461045e-15
84,8.500000000000001e-12,1.2399845822490579e-15
85,8.600000000000001e-12,1.2572872919226608e-15
86,8.700000000000001e-12,1.2833668552056925e-15
87,8.800000000000001e-12,1.2973525510913534e-15
88,8.900000000000001e-12,1.302617741772333e-15
89,9.000000000000001e-12,1.3013856795675297e-15
90,9.100000000000001e-12,1.304478551036316e-15
91,9.200000000000001e-12,1.3257375967052818e-15
92,9.300000000000001e-12,1.351361161489713e-15
93,9.400000000000001e-12,1.3622961891475125e-15
94,9.500000000000001e-12,1.3750800503302259e-15
95,9.600000000000001e-12,1.38483266103584e-15
96,9.700000000000001e-12,1.3869289432738247e-15
97,9.800000000000001e-12,1.3772186901602758e-15
98,9.900000000000001e-12,1.3705399551375264e-15
99,1.0000000000000001e-11,1.370994990390907e-15
100,1.0100000000000001e-11,1.3846816477497782e-15
101,1.0200000000000001e-11,1.4075323867183268e-15
102,1.0300000000000001e-11,1.4287387832819973e-15
103,1.0400000000000001e-11,1.4416814402150665e-15
104,1.0500000000000001e-11,1.447467678355482e-15
105,1.0600000000000001e-11,1.4511609037065925e-15
106,1.0700000000000001e-11,1.455186750842408e-15
107,1.0800000000000001e-11,1.4545702111840925e-15
108,1.0900000000000001e-11,1.4559189851298646e-15
109,1.1e-11,1.4627034493075224e-15
110,1.11e-11,1.4840074448899244e-15
111,1.12e-11,1.4987540094118305e-15
112,1.13e-11,1.5016790322093747e-15
113,1.14e-11,1.4999767146106817e-15
114,1.15e-11,1.5082757271165902e-15
115,1.16e-11,1.5201656211700361e-15
116,1.17e-11,1.5179789780389183e-15
117,1.18e-11,1.5160987815550519e-15
118,1.19e-11,1.5101572583502293e-15
119,1.2e-11,1.5161126561811319e-15
120,1.21e-11,1.5143763299608463e-15
121,1.22e-11,1.513375423361016e-15
122,1.23e-11,1.533644971143485e-15
123,1.24e-11,1.5488431816285443e-15
124,1.25e-11,1.5660086332593672e-15
125,1.26e-11,1.585338482678103e-15
126,1.27e-11,1.6044970463631391e-15
127,1.28e-11,1.6176953359230614e-15
128,1.29e-11,1.620850590299489e-15
129,1.3e-11,1.6103377132124263e-15
130,1.31e-11,1.602002786912675e-15
131,1.32e-11,1.5924367427109583e-15
132,1.33e-11,1.5754709473359224e-15
133,1.34e-11,1.5547348681819082e-15
134,1.3500000000000002e-11,1.53296385708157e-15
135,1.3600000000000002e-11,1.5237142801209309e-15
136,1.3700000000000002e-11,1.5286044248626923e-15
137,1.3800000000000002e-11,1.5447998764821487e-15
138,1.3900000000000002e-11,1.5382224162564639e-15
139,1.4000000000000002e-11,1.5479704565015288e-15
140,1.4100000000000002e-11,1.5603491411396259e-15
141,1.4200000000000002e-11,1.579998826337894e-15
142,1.4300000000000002e-11,1.5939852904855713e-15
143,1.4400000000000002e-11,1.5975219202830877e-15
144,1.4500000000000002e-11,1.5979887426497479e-15
145,1.46e-11,1.5995791500677947e-15
146,1.47e-11,1.6012788204965233e-15
147,1.48e-11,1.5955928948727278e-15
148,1.49e-11,1.6024024567628169e-15
149,1.5e-11,1.6116457103753097e-15
150,1.51e-11,1.635546515249166e-15
151,1.52e-11,1.6438102940374873e-15
152,1.53e-11,1.6250787043159298e-15
153,1.54e-11,1.599066872422312e-15
154,1.55e-11,1.5906341763808221e-15
155,1.56e-11,1.600005130320869e-15
156,1.57e-11,1.6024920245664154e-15
157,1.58e-11,1.596049814991223e-15
158,1.59e-11,1.602001400600823e-15
159,1.6e-11,1.6150615978765077e-15
160,1.61e-11,1.630233590220205e-15
161,1.6200000000000003e-11,1.6413091417329172e-15
162,1.63e-11,1.6332937017742934e-15
163,1.6400000000000003e-11,1.6252997228895402e-15
164,1.65e-11,1.6250960735730895e-15
165,1.6600000000000003e-11,1.6284974312998943e-15
166,1.67e-11,1.645811520299672e-15
167,1.6800000000000003e-11,1.6522425793679145e-15
168,1.69e-11,1.6587657959230092e-15
169,1.7000000000000003e-11,1.6601734940590746e-15
170,1.71e-11,1.6607873847628968e-15
171,1.7200000000000003e-11,1.6702326557757055e-15
172,1.73e-11,1.6843894435020285e-15
173,1.7400000000000003e-11,1.6818431198796636e-15
174,1.75e-11,1.681878316178831e-15
175,1.7600000000000003e-11,1.6780003811549578e-15
176,1.77e-11,1.6813670080510159e-15
