,Time,DMA
0,1e-13,1.2620721452925555e-17
1,2e-13,2.9238890099116285e-17
2,3.0000000000000003e-13,4.257386112603775e-17
3,4e-13,5.154791717618968e-17
4,5e-13,5.891215461206587e-17
5,6.000000000000001e-13,6.653520093342021e-17
6,7e-13,7.328397935783465e-17
7,8e-13,7.788661844554774e-17
8,9.000000000000001e-13,8.217829003153057e-17
9,1e-12,8.572572340744426e-17
10,1.1000000000000002e-12,8.87265356948275e-17
11,1.2000000000000001e-12,9.238096531260715e-17
12,1.3000000000000001e-12,9.400918799760575e-17
13,1.4e-12,9.756291871498739e-17
14,1.5e-12,9.972714893517292e-17
15,1.6e-12,1.0479288282660368e-16
16,1.7000000000000002e-12,1.1116185412985795e-16
17,1.8000000000000002e-12,1.1859358938858965e-16
18,1.9e-12,1.221392569317735e-16
19,2e-12,1.261759321514719e-16
20,2.1000000000000003e-12,1.3317541240340013e-16
21,2.2000000000000003e-12,1.4049743141720497e-16
22,2.3000000000000003e-12,1.4544756635877442e-16
23,2.4000000000000003e-12,1.4797467361775143e-16
24,2.5000000000000003e-12,1.4755147579709127e-16
25,2.6000000000000002e-12,1.4503338730410926e-16
26,2.7000000000000002e-12,1.473142677938378e-16
27,2.8e-12,1.5380471716351086e-16
28,2.9e-12,1.6027767589075902e-16
29,3e-12,1.666702084893387e-16
30,3.1e-12,1.741732419899928e-16
31,3.2e-12,1.8024543040869674e-16
32,3.3e-12,1.8262618927331982e-16
33,3.4000000000000005e-12,1.85691999625311e-16
34,3.5000000000000004e-12,1.8796754262748532e-16
35,3.6000000000000004e-12,1.916300831813746e-16
36,3.7e-12,1.9655302541103657e-16
37,3.8e-12,2.0105132170027174e-16
38,3.9e-12,2.0722841903333308e-16
39,4e-12,2.1402094885693407e-16
40,4.100000000000001e-12,2.2038459993643857e-16
41,4.200000000000001e-12,2.262169618650841e-16
42,4.300000000000001e-12,2.3144458074972964e-16
43,4.400000000000001e-12,2.384671331407394e-16
44,4.500000000000001e-12,2.470437902140796e-16
45,4.6000000000000006e-12,2.5356625796182854e-16
46,4.7000000000000006e-12,2.580476232986385e-16
47,4.8000000000000005e-12,2.672917616856205e-16
48,4.9000000000000005e-12,2.742289381991698e-16
49,5.0000000000000005e-12,2.813722229289678e-16
50,5.1000000000000005e-12,2.891139545550187e-16
51,5.2000000000000005e-12,2.993440865226921e-16
52,5.3000000000000004e-12,3.065741973889092e-16
53,5.4000000000000004e-12,3.145178718209869e-16
54,5.5e-12,3.215958206738121e-16
55,5.6e-12,3.286075566764633e-16
56,5.7e-12,3.3375112280754925e-16
57,5.8e-12,3.416163088956375e-16
58,5.9e-12,3.4877151192889746e-16
59,6e-12,3.516681929388584e-16
60,6.1e-12,3.5243807828426216e-16
61,6.2e-12,3.524266894282872e-16
62,6.3e-12,3.534440738296565e-16
63,6.4e-12,3.5619800858043106e-16
64,6.5e-12,3.621339860347424e-16
65,6.6e-12,3.6984351845944297e-16
66,6.7e-12,3.696746434087074e-16
67,6.800000000000001e-12,3.6993637935611853e-16
68,6.900000000000001e-12,3.7194465739411183e-16
69,7.000000000000001e-12,3.742716445442921e-16
70,7.100000000000001e-12,3.7890511291649215e-16
71,7.200000000000001e-12,3.843174216885881e-16
72,7.3e-12,3.900653545390419e-16
73,7.4e-12,3.9493937211140784e-16
74,7.5e-12,4.0286818296300323e-16
75,7.6e-12,4.1658661081783207e-16
76,7.7e-12,4.28176822947322e-16
77,7.8e-12,4.392570524772432e-16
78,7.9e-12,4.46982360327588e-16
79,8e-12,4.527686190038032e-16
80,8.100000000000001e-12,4.607259733472671e-16
81,8.200000000000001e-12,4.729143126047806e-16
82,8.300000000000001e-12,4.796967878910726e-16
83,8.400000000000001e-12,4.854320645687824e-16
84,8.500000000000001e-12,4.891195463396831e-16
85,8.600000000000001e-12,4.996189109400523e-16
86,8.700000000000001e-12,5.141133186256623e-16
87,8.800000000000001e-12,5.307067796376678e-16
88,8.900000000000001e-12,5.477674228481522e-16
89,9.000000000000001e-12,5.612481180213618e-16
90,9.100000000000001e-12,5.774883898999614e-16
91,9.200000000000001e-12,5.953701322427411e-16
92,9.300000000000001e-12,6.103853674332516e-16
93,9.400000000000001e-12,6.272825986166677e-16
94,9.500000000000001e-12,6.464328020613233e-16
95,9.600000000000001e-12,6.608881558517067e-16
96,9.700000000000001e-12,6.688395722927819e-16
97,9.800000000000001e-12,6.738286245196989e-16
98,9.900000000000001e-12,6.789579815274424e-16
99,1.0000000000000001e-11,6.814324170777016e-16
100,1.0100000000000001e-11,6.83509163917994e-16
101,1.0200000000000001e-11,6.856738656931573e-16
102,1.0300000000000001e-11,6.890347136185427e-16
103,1.0400000000000001e-11,6.898995958758968e-16
104,1.0500000000000001e-11,6.837046307146997e-16
105,1.0600000000000001e-11,6.767820366109902e-16
106,1.0700000000000001e-11,6.746610722288516e-16
107,1.0800000000000001e-11,6.745608080092291e-16
108,1.0900000000000001e-11,6.764370740709641e-16
109,1.1e-11,6.783853847676075e-16
110,1.11e-11,6.840937343180413e-16
111,1.12e-11,6.887584586248703e-16
112,1.13e-11,6.909990792194332e-16
113,1.14e-11,6.904156308791344e-16
114,1.15e-11,6.859623818534459e-16
115,1.16e-11,6.849547201282125e-16
116,1.17e-11,6.913274593019803e-16
117,1.18e-11,6.973639724068821e-16
118,1.19e-11,7.051182988522585e-16
119,1.2e-11,7.046580469325698e-16
120,1.21e-11,6.976120935164959e-16
121,1.22e-11,6.858928532561518e-16
122,1.23e-11,6.771423619973275e-16
123,1.24e-11,6.727498052786686e-16
124,1.25e-11,6.659329767468598e-16
125,1.26e-11,6.625553304976961e-16
126,1.27e-11,6.612099114108782e-16
127,1.28e-11,6.642750803553542e-16
128,1.29e-11,6.737100111365901e-16
129,1.3e-11,6.81435118676675e-16
130,1.31e-11,6.8258087628038e-16
131,1.32e-11,6.827451358871981e-16
132,1.33e-11,6.748117808459875e-16
133,1.34e-11,6.605014922625991e-16
134,1.3500000000000002e-11,6.510220969246358e-16
135,1.3600000000000002e-11,6.47312788517458e-16
136,1.3700000000000002e-11,6.470778473953122e-16
137,1.3800000000000002e-11,6.553744712506533e-16
138,1.3900000000000002e-11,6.646102929569012e-16
139,1.4000000000000002e-11,6.750834243797088e-16
140,1.4100000000000002e-11,6.782942710188515e-16
141,1.4200000000000002e-11,6.705855929343951e-16
142,1.4300000000000002e-11,6.596358059250947e-16
143,1.4400000000000002e-11,6.566572816912827e-16
144,1.4500000000000002e-11,6.592813210967261e-16
145,1.46e-11,6.59833582532322e-16
146,1.47e-11,6.623842673258629e-16
147,1.48e-11,6.628364317527316e-16
148,1.49e-11,6.668992829491253e-16
149,1.5e-11,6.724167628226699e-16
150,1.51e-11,6.740620205724731e-16
151,1.52e-11,6.677205579866469e-16
152,1.53e-11,6.659346394676588e-16
153,1.54e-11,6.607609639913101e-16
154,1.55e-11,6.516124282616512e-16
155,1.56e-11,6.502351715223506e-16
156,1.57e-11,6.57683976037095e-16
157,1.58e-11,6.654092955033345e-16
158,1.59e-11,6.698974136025405e-16
159,1.6e-11,6.786185027778822e-16
160,1.61e-11,6.853988091649558e-16
161,1.6200000000000003e-11,6.863832344280213e-16
162,1.63e-11,6.877818131066193e-16
163,1.6400000000000003e-11,6.924428848590206e-16
164,1.65e-11,6.997764360707514e-16
165,1.6600000000000003e-11,7.017289642481338e-16
166,1.67e-11,6.987150840360574e-16
167,1.6800000000000003e-11,6.99593526293522e-16
168,1.69e-11,6.908700672205159e-16
169,1.7000000000000003e-11,6.816055135030433e-16
170,1.71e-11,6.807401464605258e-16
171,1.7200000000000003e-11,6.864526124574644e-16
172,1.73e-11,6.836632920692005e-16
173,1.7400000000000003e-11,6.746075835063042e-16
174,1.75e-11,6.629426366111787e-16
175,1.7600000000000003e-11,6.531960122671129e-16
176,1.77e-11,6.463979286284227e-16
177,1.7800000000000003e-11,6.433675626576485e-16
178,1.79e-11,6.482739578600849e-16
179,1.8000000000000002e-11,6.501522965597497e-16
180,1.81e-11,6.503387424584347e-16
181,1.8200000000000002e-11,6.479396282956676e-16
182,1.83e-11,6.446982738562662e-16
183,1.8400000000000002e-11,6.478781067460057e-16
184,1.85e-11,6.509087715941836e-16
185,1.8600000000000002e-11,6.548052343473587e-16
186,1.87e-11,6.570607704519016e-16
187,1.8800000000000002e-11,6.575199698444917e-16
188,1.89e-11,6.550526182668667e-16
189,1.9000000000000002e-11,6.537855033057802e-16
190,1.91e-11,6.469271022317174e-16
191,1.9200000000000002e-11,6.421792504111325e-16
192,1.93e-11,6.407461883908591e-16
193,1.9400000000000002e-11,6.445547454081167e-16
194,1.95e-11,6.504502874494069e-16
195,1.9600000000000002e-11,6.579135136822475e-16
196,1.97e-11,6.639380168112214e-16
197,1.9800000000000002e-11,6.686869015855523e-16
198,1.99e-11,6.712859393072699e-16
199,2.0000000000000002e-11,6.699048990444936e-16
200,2.01e-11,6.657552702748999e-16
201,2.0200000000000002e-11,6.617244256572775e-16
202,2.03e-11,6.5676071382622735e-16
203,2.0400000000000002e-11,6.552260988911468e-16
204,2.05e-11,6.570503501255487e-16
205,2.0600000000000002e-11,6.612838917821944e-16
206,2.07e-11,6.635850334834164e-16
207,2.0800000000000002e-11,6.663113971635841e-16
208,2.09e-11,6.711153295195054e-16
209,2.1000000000000002e-11,6.773699459391866e-16
210,2.11e-11,6.802713068515537e-16
211,2.1200000000000002e-11,6.870001114017307e-16
212,2.13e-11,6.948656124231081e-16
213,2.1400000000000002e-11,7.022276127192596e-16
214,2.15e-11,7.051271614632203e-16
215,2.1600000000000002e-11,7.080490159349938e-16
216,2.1700000000000003e-11,7.152432279444083e-16
217,2.1800000000000002e-11,7.241744771926941e-16
218,2.1900000000000003e-11,7.3510127434251325e-16
219,2.2e-11,7.402234763497598e-16
220,2.2100000000000003e-11,7.419880734071653e-16
221,2.22e-11,7.504318262362809e-16
222,2.2300000000000003e-11,7.618897192311616e-16
223,2.24e-11,7.679150868945707e-16
224,2.2500000000000003e-11,7.710098319244587e-16
225,2.26e-11,7.717948285182949e-16
226,2.2700000000000003e-11,7.720396800021866e-16
227,2.28e-11,7.752329098143214e-16
228,2.2900000000000003e-11,7.840717923009611e-16
229,2.3e-11,7.932008210924469e-16
230,2.3100000000000003e-11,7.951072665050336e-16
231,2.32e-11,7.946095762536624e-16
232,2.3300000000000003e-11,7.939126727716287e-16
233,2.34e-11,7.935513623933686e-16
234,2.3500000000000003e-11,7.994655878384165e-16
235,2.36e-11,8.128258763986223e-16
236,2.3700000000000003e-11,8.237899502378239e-16
237,2.38e-11,8.391252025378085e-16
238,2.3900000000000003e-11,8.517865355455198e-16
239,2.4e-11,8.611402774353414e-16
240,2.4100000000000003e-11,8.785247743365148e-16
241,2.42e-11,8.977553787931628e-16
242,2.4300000000000003e-11,9.129472285639285e-16
243,2.44e-11,9.249804538808044e-16
244,2.4500000000000003e-11,9.329307987771842e-16
245,2.46e-11,9.42301425312603e-16
246,2.4700000000000003e-11,9.585750713632644e-16
247,2.48e-11,9.696202219212125e-16
248,2.4900000000000003e-11,9.75011621812958e-16
249,2.5e-11,9.793360594341321e-16
250,2.5100000000000003e-11,9.838990459647318e-16
251,2.52e-11,9.886876590504498e-16
252,2.5300000000000002e-11,9.924537627509504e-16
253,2.54e-11,9.969729114472213e-16
254,2.5500000000000002e-11,1.0033412347185534e-15
255,2.56e-11,1.010268293991737e-15
256,2.5700000000000002e-11,1.0153676748397965e-15
257,2.58e-11,1.0174512295658283e-15
258,2.5900000000000002e-11,1.0212843570142902e-15
259,2.6e-11,1.0240010665523673e-15
260,2.6100000000000002e-11,1.0308272119109147e-15
261,2.62e-11,1.0382864613505253e-15
262,2.6300000000000002e-11,1.0537558411799613e-15
263,2.64e-11,1.071990230585644e-15
264,2.6500000000000002e-11,1.085268457417367e-15
265,2.66e-11,1.094365331871138e-15
266,2.6700000000000002e-11,1.1044629138360636e-15
