,Time,DMA,BUT
0,1e-13,1.2183681514616076e-17,1.490787318548251e-17
1,2e-13,2.675218302945077e-17,3.6846694272736504e-17
2,3.0000000000000003e-13,3.99517807206476e-17,5.093065164617684e-17
3,4e-13,5.1561217406112015e-17,6.415188543179048e-17
4,5e-13,6.161954840219453e-17,7.733446473791378e-17
5,6.000000000000001e-13,7.110898967345488e-17,9.332526545077145e-17
6,7e-13,7.89520358474113e-17,1.0156578863057096e-16
7,8e-13,8.427636609065493e-17,1.1766406141552718e-16
8,9.000000000000001e-13,8.964179253364197e-17,1.1432135135562594e-16
9,1e-12,9.133138873077257e-17,1.1333148462188947e-16
10,1.1000000000000002e-12,9.26462406831324e-17,1.2116550355587674e-16
11,1.2000000000000001e-12,9.441913975053716e-17,1.2276829195625552e-16
12,1.3000000000000001e-12,1.0039540192796711e-16,1.3265925651540728e-16
13,1.4e-12,1.0512719365015137e-16,1.269031690695605e-16
14,1.5e-12,1.1066638642256103e-16,1.320880586370635e-16
15,1.6e-12,1.1630970760998847e-16,1.645342916656924e-16
16,1.7000000000000002e-12,1.225810305872968e-16,1.8465160828684683e-16
17,1.8000000000000002e-12,1.304334963025375e-16,1.7458200135119343e-16
18,1.9e-12,1.3569380991150151e-16,1.632820043906401e-16
19,2e-12,1.4261162983687482e-16,1.576876495761544e-16
20,2.1000000000000003e-12,1.4945846634610744e-16,1.7010557120631564e-16
21,2.2000000000000003e-12,1.5530846832036725e-16,1.8152928882802189e-16
22,2.3000000000000003e-12,1.6100733915291585e-16,2.0568956663910088e-16
23,2.4000000000000003e-12,1.655440285443289e-16,2.194124131059189e-16
24,2.5000000000000003e-12,1.6994433163024618e-16,2.258238706398607e-16
25,2.6000000000000002e-12,1.7649395574562357e-16,2.1668300730304434e-16
26,2.7000000000000002e-12,1.8420166678314665e-16,2.2003368922330796e-16
27,2.8e-12,1.946865090476682e-16,2.450113909664864e-16
28,2.9e-12,2.0344935676955178e-16,2.878150987901297e-16
29,3e-12,2.0906822813142218e-16,3.3540708726388845e-16
30,3.1e-12,2.1568968006650713e-16,3.9066145716280856e-16
31,3.2e-12,2.2018366102058842e-16,3.6940958650836195e-16
32,3.3e-12,2.1822317049116996e-16,3.5910207626449934e-16
33,3.4000000000000005e-12,2.1827903726888098e-16,3.6088463866311906e-16
34,3.5000000000000004e-12,2.2283229586408756e-16,3.6773212664539225e-16
35,3.6000000000000004e-12,2.2585254105631867e-16,3.9947608392658316e-16
36,3.7e-12,2.324422410791053e-16,3.9252083851956235e-16
37,3.8e-12,2.406618735502599e-16,3.716950264452152e-16
38,3.9e-12,2.4887936578049e-16,3.3826296213293115e-16
39,4e-12,2.553632509149476e-16,3.132492730773631e-16
40,4.100000000000001e-12,2.5707160066129624e-16,3.291693976788042e-16
41,4.200000000000001e-12,2.5484583161699313e-16,3.646558828557217e-16
42,4.300000000000001e-12,2.5483322781007933e-16,3.6065940748873342e-16
43,4.400000000000001e-12,2.5440808031192376e-16,3.588419021328039e-16
44,4.500000000000001e-12,2.6446473704406107e-16,3.809110936676473e-16
45,4.6000000000000006e-12,2.753182089755615e-16,4.0349293051719667e-16
46,4.7000000000000006e-12,2.813602675242163e-16,4.0757563762739685e-16
47,4.8000000000000005e-12,2.8247910550620067e-16,4.134998163090033e-16
48,4.9000000000000005e-12,2.837477750008292e-16,4.1609437349047953e-16
49,5.0000000000000005e-12,2.8887581897698475e-16,3.9722237126787435e-16
50,5.1000000000000005e-12,2.9372454901083995e-16,3.883648089757492e-16
51,5.2000000000000005e-12,2.9714846986593584e-16,3.7292214074162758e-16
52,5.3000000000000004e-12,2.985438457818414e-16,3.876013439132202e-16
53,5.4000000000000004e-12,2.9812666176696415e-16,3.8790194736004596e-16
54,5.5e-12,2.969576708302407e-16,4.210809454992632e-16
