,Time,OCM
0,1e-13,5.699988415086402e-18
1,2e-13,8.180682232221836e-18
2,3.0000000000000003e-13,9.334880056526229e-18
3,4e-13,9.941044507879152e-18
4,5e-13,1.0065942304614484e-17
5,6.000000000000001e-13,1.050606761843455e-17
6,7e-13,1.0991857863798045e-17
7,8e-13,1.092688086982768e-17
8,9.000000000000001e-13,1.063905778528495e-17
9,1e-12,1.0109305449197341e-17
10,1.1000000000000002e-12,9.787300819278302e-18
11,1.2000000000000001e-12,1.0664666691088457e-17
12,1.3000000000000001e-12,1.2545046609135808e-17
13,1.4e-12,1.3489989450810294e-17
14,1.5e-12,1.4793960145499818e-17
15,1.6e-12,1.593173019567765e-17
16,1.7000000000000002e-12,1.645681956270255e-17
17,1.8000000000000002e-12,1.6352382177346817e-17
18,1.9e-12,1.5490133331648885e-17
19,2e-12,1.58569106752924e-17
20,2.1000000000000003e-12,1.6587784235928697e-17
21,2.2000000000000003e-12,1.7439426489189053e-17
22,2.3000000000000003e-12,1.8749957320128643e-17
23,2.4000000000000003e-12,1.9856780404955294e-17
24,2.5000000000000003e-12,2.123091597903005e-17
25,2.6000000000000002e-12,2.2897986546303242e-17
26,2.7000000000000002e-12,2.5940891500298304e-17
27,2.8e-12,2.887388105060412e-17
28,2.9e-12,3.150578271636859e-17
29,3e-12,3.2799472681146136e-17
30,3.1e-12,3.2641804482857846e-17
31,3.2e-12,3.308590575818257e-17
32,3.3e-12,3.426486142392917e-17
33,3.4000000000000005e-12,3.56902439539549e-17
34,3.5000000000000004e-12,3.6362634184895055e-17
35,3.6000000000000004e-12,3.798415958677597e-17
36,3.7e-12,3.940864589740434e-17
37,3.8e-12,3.994200902968e-17
38,3.9e-12,4.0622741129070545e-17
39,4e-12,4.10198505068514e-17
40,4.100000000000001e-12,4.2720307085579e-17
41,4.200000000000001e-12,4.422317930502127e-17
42,4.300000000000001e-12,4.555622666036083e-17
43,4.400000000000001e-12,4.661792678002506e-17
44,4.500000000000001e-12,4.8269842068490524e-17
45,4.6000000000000006e-12,4.977312194217337e-17
46,4.7000000000000006e-12,5.0960326479695825e-17
47,4.8000000000000005e-12,5.1837164922180314e-17
48,4.9000000000000005e-12,5.3046919380707995e-17
49,5.0000000000000005e-12,5.547607949346891e-17
50,5.1000000000000005e-12,5.725914208869083e-17
51,5.2000000000000005e-12,5.934468032440548e-17
52,5.3000000000000004e-12,6.018445121027384e-17
53,5.4000000000000004e-12,6.127627091710117e-17
54,5.5e-12,6.201793530891022e-17
55,5.6e-12,6.292904316688191e-17
56,5.7e-12,6.364928745333497e-17
57,5.8e-12,6.362549806543089e-17
58,5.9e-12,6.494617140295409e-17
59,6e-12,6.659752504960269e-17
60,6.1e-12,6.663813132534181e-17
61,6.2e-12,6.731830111688275e-17
62,6.3e-12,6.729208584555017e-17
63,6.4e-12,6.917212496444341e-17
64,6.5e-12,7.134046757818153e-17
65,6.6e-12,7.325531209715453e-17
66,6.7e-12,7.488184141856864e-17
67,6.800000000000001e-12,7.521611785388472e-17
68,6.900000000000001e-12,7.595217961375542e-17
69,7.000000000000001e-12,7.766141542435553e-17
70,7.100000000000001e-12,8.048994941420351e-17
71,7.200000000000001e-12,8.274146853665632e-17
72,7.3e-12,8.50166643739798e-17
73,7.4e-12,8.811102791566933e-17
74,7.5e-12,9.074577257679119e-17
75,7.6e-12,9.427249797579113e-17
76,7.7e-12,9.809570845769373e-17
77,7.8e-12,1.0228665137856456e-16
78,7.9e-12,1.0542098857887216e-16
79,8e-12,1.085514621490279e-16
80,8.100000000000001e-12,1.1136583783666255e-16
81,8.200000000000001e-12,1.1472751001471373e-16
82,8.300000000000001e-12,1.165325394039887e-16
83,8.400000000000001e-12,1.1833016537932035e-16
84,8.500000000000001e-12,1.2145871712030898e-16
85,8.600000000000001e-12,1.2435582579194597e-16
86,8.700000000000001e-12,1.2619818042461746e-16
87,8.800000000000001e-12,1.294616687145321e-16
88,8.900000000000001e-12,1.3296097384245148e-16
89,9.000000000000001e-12,1.3553881393864666e-16
90,9.100000000000001e-12,1.3737054184746715e-16
91,9.200000000000001e-12,1.399000589304428e-16
92,9.300000000000001e-12,1.4361133927681175e-16
93,9.400000000000001e-12,1.480215420613105e-16
94,9.500000000000001e-12,1.5139098277876427e-16
95,9.600000000000001e-12,1.556532230758052e-16
96,9.700000000000001e-12,1.6106224885254656e-16
97,9.800000000000001e-12,1.6409601177239402e-16
98,9.900000000000001e-12,1.6654672158808132e-16
99,1.0000000000000001e-11,1.7007646563171926e-16
100,1.0100000000000001e-11,1.7285111174672674e-16
101,1.0200000000000001e-11,1.754277146462042e-16
102,1.0300000000000001e-11,1.7900716752004749e-16
103,1.0400000000000001e-11,1.8055173064099902e-16
104,1.0500000000000001e-11,1.7906723436447494e-16
105,1.0600000000000001e-11,1.7805926518561176e-16
106,1.0700000000000001e-11,1.7883889547174145e-16
107,1.0800000000000001e-11,1.8045524204309955e-16
108,1.0900000000000001e-11,1.8008624048639565e-16
109,1.1e-11,1.8049059071354564e-16
110,1.11e-11,1.8130956003183297e-16
111,1.12e-11,1.8232852698611943e-16
112,1.13e-11,1.8450235973064668e-16
113,1.14e-11,1.8659775287470489e-16
114,1.15e-11,1.8868338653975342e-16
115,1.16e-11,1.8959414738267009e-16
116,1.17e-11,1.8975280332873614e-16
117,1.18e-11,1.9121092329856223e-16
118,1.19e-11,1.9169366667355219e-16
119,1.2e-11,1.9297490062362436e-16
120,1.21e-11,1.942404540889329e-16
121,1.22e-11,1.9514755261905617e-16
122,1.23e-11,1.9390347633487344e-16
123,1.24e-11,1.9221246219214202e-16
124,1.25e-11,1.9066271471079857e-16
125,1.26e-11,1.8879456339795687e-16
126,1.27e-11,1.851945375896509e-16
127,1.28e-11,1.835918152143453e-16
128,1.29e-11,1.8125445993222859e-16
129,1.3e-11,1.7907508301985455e-16
130,1.31e-11,1.7701061627853483e-16
131,1.32e-11,1.7640452995141276e-16
132,1.33e-11,1.766665252715895e-16
133,1.34e-11,1.7618070977439013e-16
134,1.3500000000000002e-11,1.744665879038666e-16
135,1.3600000000000002e-11,1.7288479421055964e-16
136,1.3700000000000002e-11,1.7095110242724898e-16
137,1.3800000000000002e-11,1.684080189272667e-16
138,1.3900000000000002e-11,1.6569327278828179e-16
139,1.4000000000000002e-11,1.616151013727854e-16
140,1.4100000000000002e-11,1.5976213739034897e-16
141,1.4200000000000002e-11,1.5810609023947506e-16
142,1.4300000000000002e-11,1.5801057046902063e-16
143,1.4400000000000002e-11,1.5865339361147497e-16
144,1.4500000000000002e-11,1.586822664784001e-16
145,1.46e-11,1.5882071428556721e-16
146,1.47e-11,1.5800510801952878e-16
147,1.48e-11,1.5509689436859518e-16
148,1.49e-11,1.5206192636205384e-16
149,1.5e-11,1.499498999735897e-16
150,1.51e-11,1.50135954821414e-16
151,1.52e-11,1.488283355308432e-16
152,1.53e-11,1.4696596388495644e-16
153,1.54e-11,1.4384073644705472e-16
154,1.55e-11,1.4061345348048986e-16
155,1.56e-11,1.378666329821658e-16
156,1.57e-11,1.3382007954741231e-16
157,1.58e-11,1.2919078046600924e-16
158,1.59e-11,1.2544267178699427e-16
159,1.6e-11,1.217276991833084e-16
160,1.61e-11,1.1850709613911905e-16
161,1.6200000000000003e-11,1.1575708097547075e-16
162,1.63e-11,1.147906950263108e-16
163,1.6400000000000003e-11,1.1269719542958702e-16
164,1.65e-11,1.109626958197717e-16
165,1.6600000000000003e-11,1.0864427062330994e-16
166,1.67e-11,1.0849571571045932e-16
167,1.6800000000000003e-11,1.1034602706278366e-16
168,1.69e-11,1.1026934760255244e-16
169,1.7000000000000003e-11,1.0955688143167386e-16
170,1.71e-11,1.0885548059483439e-16
171,1.7200000000000003e-11,1.076918667385801e-16
172,1.73e-11,1.0639128227909858e-16
173,1.7400000000000003e-11,1.0636282503462603e-16
174,1.75e-11,1.0810157649693881e-16
175,1.7600000000000003e-11,1.1061709615652927e-16
176,1.77e-11,1.126036929029295e-16
177,1.7800000000000003e-11,1.1424272875791406e-16
178,1.79e-11,1.1612220655186615e-16
179,1.8000000000000002e-11,1.181685344203125e-16
180,1.81e-11,1.1784485561468325e-16
181,1.8200000000000002e-11,1.1674470013236913e-16
182,1.83e-11,1.1620938676653868e-16
183,1.8400000000000002e-11,1.1592099747160499e-16
184,1.85e-11,1.1562136296300102e-16
185,1.8600000000000002e-11,1.1565388970598033e-16
186,1.87e-11,1.1594491387069147e-16
187,1.8800000000000002e-11,1.1632058350477068e-16
188,1.89e-11,1.1720879485384893e-16
189,1.9000000000000002e-11,1.1782251788132235e-16
