,Time,OCM,BUT
0,1e-13,8.268286405815512e-18,1.1864728859794905e-17
1,2e-13,1.1891931341751148e-17,1.938092920815828e-17
2,3.0000000000000003e-13,1.424041961115803e-17,2.295840907635055e-17
3,4e-13,1.7073926865283355e-17,2.4420575801059323e-17
4,5e-13,1.951844666694477e-17,2.5753474995172026e-17
5,6.000000000000001e-13,2.0097727471339058e-17,3.91913925059414e-17
6,7e-13,2.2693917658069393e-17,4.085181066308542e-17
7,8e-13,2.5074781696323937e-17,5.758356000930585e-17
8,9.000000000000001e-13,2.718658042591176e-17,6.962917064309856e-17
9,1e-12,2.842452891015587e-17,7.810584551233777e-17
10,1.1000000000000002e-12,2.967909941186902e-17,8.551114694500907e-17
11,1.2000000000000001e-12,3.106825549342252e-17,7.542420507900329e-17
12,1.3000000000000001e-12,3.371266953522236e-17,7.019629253339508e-17
13,1.4e-12,3.5773915978650526e-17,7.417238966681315e-17
14,1.5e-12,3.763306285392911e-17,7.84980369667526e-17
15,1.6e-12,3.714540635134253e-17,8.275848216626554e-17
16,1.7000000000000002e-12,3.7084273248211665e-17,8.271685159943946e-17
17,1.8000000000000002e-12,3.814597884254322e-17,9.47741893061852e-17
18,1.9e-12,3.950120112260546e-17,1.1201641281544822e-16
19,2e-12,4.011007410272897e-17,1.1063291642032631e-16
20,2.1000000000000003e-12,4.1738816539989594e-17,1.1027022653932126e-16
21,2.2000000000000003e-12,4.314501376622412e-17,9.62566767232931e-17
22,2.3000000000000003e-12,4.311679768389651e-17,9.10962814445747e-17
23,2.4000000000000003e-12,4.3462022457827404e-17,8.8212410184159e-17
24,2.5000000000000003e-12,4.360550364787872e-17,9.040410096155916e-17
25,2.6000000000000002e-12,4.3843565594491704e-17,8.868525101435406e-17
26,2.7000000000000002e-12,4.5644088999591804e-17,8.993182246809799e-17
27,2.8e-12,4.720700484288054e-17,9.182184274662178e-17
28,2.9e-12,4.7513237395483e-17,1.1088619645946303e-16
29,3e-12,4.9475451411827916e-17,1.0762631345429053e-16
30,3.1e-12,5.13710764750058e-17,1.0757108930122102e-16
31,3.2e-12,5.526291492160917e-17,1.11475590104861e-16
32,3.3e-12,5.890841622736438e-17,1.132546523788692e-16
33,3.4000000000000005e-12,6.238920881051856e-17,1.2425386033248416e-16
34,3.5000000000000004e-12,6.596469346045097e-17,1.2746549705091233e-16
35,3.6000000000000004e-12,6.858655229419954e-17,1.2161293627661534e-16
36,3.7e-12,7.188650630153049e-17,1.2603439378064917e-16
37,3.8e-12,7.269835904915259e-17,1.2986449848368138e-16
38,3.9e-12,7.38409620604028e-17,1.4175251811105114e-16
39,4e-12,7.692693812017667e-17,1.3255342347355714e-16
40,4.100000000000001e-12,7.915664073958856e-17,1.454040758301055e-16
41,4.200000000000001e-12,8.021396750731544e-17,1.5755742627024972e-16
42,4.300000000000001e-12,8.17260497252468e-17,1.6825496480397365e-16
43,4.400000000000001e-12,8.181962478249367e-17,1.7382410773753697e-16
44,4.500000000000001e-12,8.303876092465758e-17,1.685583007757302e-16
45,4.6000000000000006e-12,8.806529336387138e-17,1.607601573598774e-16
46,4.7000000000000006e-12,9.092403280809756e-17,1.6098584425011525e-16
47,4.8000000000000005e-12,9.299112990466733e-17,1.6801505870192462e-16
48,4.9000000000000005e-12,9.54784570901919e-17,1.8243862703849008e-16
49,5.0000000000000005e-12,9.763561848662441e-17,1.9167298818265214e-16
50,5.1000000000000005e-12,1.0091545941733617e-16,1.9206723418660294e-16
51,5.2000000000000005e-12,1.0200624589984465e-16,2.038620474270677e-16
52,5.3000000000000004e-12,1.0371693778659914e-16,1.9560483494451528e-16
53,5.4000000000000004e-12,1.0534172521222043e-16,1.9255726974428528e-16
54,5.5e-12,1.0420785265577777e-16,1.9406816783367798e-16
55,5.6e-12,1.0215974356019187e-16,1.940700588582071e-16
56,5.7e-12,1.0132682289545554e-16,1.855726977381707e-16
57,5.8e-12,1.0231769070926875e-16,1.9263818432730822e-16
58,5.9e-12,1.0116296389084569e-16,1.9045830950484436e-16
59,6e-12,1.0162528005493246e-16,1.8336720279807782e-16
60,6.1e-12,1.0290670820697171e-16,1.9255686980653622e-16
61,6.2e-12,1.0404812939271785e-16,1.8625329078883847e-16
62,6.3e-12,1.0419842217430164e-16,1.7884426534462102e-16
63,6.4e-12,1.051428746723958e-16,1.8286397610454623e-16
64,6.5e-12,1.0666369074478358e-16,1.802901698081605e-16
65,6.6e-12,1.0737254924326972e-16,1.778185579744994e-16
66,6.7e-12,1.0655919855548947e-16,1.8131967971824873e-16
67,6.800000000000001e-12,1.0511959530771125e-16,1.7800483927916878e-16
68,6.900000000000001e-12,1.054594164755615e-16,1.8809390977838262e-16
69,7.000000000000001e-12,1.0644813345958734e-16,1.8786043205356432e-16
