,Time,BUT,PET
0,1e-13,1.3971346639184044e-17,1.2778185668427088e-17
1,2e-13,2.5619568520660162e-17,2.5820169887631352e-17
2,3.0000000000000003e-13,4.495980060973407e-17,3.7379572485341953e-17
3,4e-13,6.256380027756523e-17,4.5035648469911615e-17
4,5e-13,7.591460528847104e-17,5.029622573969348e-17
5,6.000000000000001e-13,9.13349899635189e-17,5.444073844546212e-17
6,7e-13,1.0600469135357311e-16,5.837685211036543e-17
7,8e-13,1.1481509896035267e-16,6.035280760656385e-17
8,9.000000000000001e-13,1.25055717775515e-16,6.067341174807174e-17
9,1e-12,1.2922364281005418e-16,6.184402000996069e-17
10,1.1000000000000002e-12,1.3348084963832929e-16,6.500507207215798e-17
11,1.2000000000000001e-12,1.2847699344832203e-16,6.955976840957041e-17
12,1.3000000000000001e-12,1.3597463895124113e-16,7.046788879901492e-17
13,1.4e-12,1.5197889460484008e-16,7.138078015171333e-17
14,1.5e-12,1.7228037465621468e-16,7.469418924058478e-17
15,1.6e-12,1.9154528891811337e-16,8.053066110386114e-17
16,1.7000000000000002e-12,1.9680104667099315e-16,8.503793760566427e-17
17,1.8000000000000002e-12,1.962028273942745e-16,8.877103118019096e-17
18,1.9e-12,2.115732952905517e-16,9.098838898189692e-17
19,2e-12,2.0891406564989288e-16,9.443377500386842e-17
20,2.1000000000000003e-12,2.1265969337272404e-16,9.824141860291946e-17
21,2.2000000000000003e-12,2.343498280125299e-16,1.0176128033244066e-16
22,2.3000000000000003e-12,2.463376126299978e-16,1.0561474209432635e-16
23,2.4000000000000003e-12,2.522908082982114e-16,1.0685777538660094e-16
24,2.5000000000000003e-12,2.6262976182424255e-16,1.0544644674210374e-16
25,2.6000000000000002e-12,2.5464371514930786e-16,1.0766316087182381e-16
26,2.7000000000000002e-12,2.553804595488881e-16,1.0954216872841598e-16
27,2.8e-12,2.4638541799067265e-16,1.0936870245239274e-16
28,2.9e-12,2.35506851452874e-16,1.111666149115826e-16
29,3e-12,2.6080652094413213e-16,1.1209958773600503e-16
30,3.1e-12,2.7438603516643105e-16,1.1263593804469927e-16
31,3.2e-12,2.502509598395295e-16,1.1347038757560468e-16
32,3.3e-12,2.247976091288604e-16,1.1588468332118699e-16
33,3.4000000000000005e-12,2.151118132919482e-16,1.213552789366715e-16
34,3.5000000000000004e-12,2.1597113892130551e-16,1.251477213977808e-16
35,3.6000000000000004e-12,2.317649078489619e-16,1.268405189972269e-16
36,3.7e-12,2.551089558927036e-16,1.2838871550484138e-16
37,3.8e-12,2.513501144667016e-16,1.3002813835590262e-16
38,3.9e-12,2.5482319842547355e-16,1.326938672569507e-16
39,4e-12,2.5896844766559593e-16,1.35470669493596e-16
40,4.100000000000001e-12,2.789736881535849e-16,1.3628031175311028e-16
41,4.200000000000001e-12,2.8168484169308196e-16,1.3934126497073566e-16
42,4.300000000000001e-12,2.936776138086306e-16,1.433971302339592e-16
43,4.400000000000001e-12,3.0182399563936763e-16,1.5028729136147896e-16
44,4.500000000000001e-12,3.2305672273997293e-16,1.5673997785935182e-16
45,4.6000000000000006e-12,3.4959249794219275e-16,1.6219422833368155e-16
46,4.7000000000000006e-12,3.487009045818151e-16,1.6528845379676535e-16
47,4.8000000000000005e-12,3.4116857610640813e-16,1.690083207146671e-16
48,4.9000000000000005e-12,3.258148906267066e-16,1.7220618224835666e-16
49,5.0000000000000005e-12,3.388585040811038e-16,1.7466393125127511e-16
50,5.1000000000000005e-12,3.443566077064879e-16,1.7626297232384799e-16
51,5.2000000000000005e-12,3.4031276867194354e-16,1.7736844613631072e-16
52,5.3000000000000004e-12,3.333839865394239e-16,1.837027277044046e-16
53,5.4000000000000004e-12,3.352583455019716e-16,1.9103564409708454e-16
54,5.5e-12,3.4714505058454296e-16,1.9937426908132934e-16
55,5.6e-12,3.477680834868711e-16,2.0720640921644963e-16
