,Time,BUT
0,1e-12,2.6453384909712723e-16
1,2e-12,4.135151227019664e-16
2,3e-12,5.315999340899696e-16
3,4e-12,6.864305289115792e-16
4,5.0000000000000005e-12,8.061958384392064e-16
5,6e-12,9.17896200499352e-16
6,7.000000000000001e-12,9.365058088559372e-16
7,8e-12,1.0290977058413956e-15
8,9.000000000000001e-12,1.1297839012711001e-15
9,1.0000000000000001e-11,1.1979507899753346e-15
10,1.1e-11,1.2722175770836321e-15
11,1.2e-11,1.4625972710467753e-15
12,1.3e-11,1.5607044001271434e-15
13,1.4000000000000002e-11,1.7487297535758952e-15
14,1.5e-11,1.851753879912511e-15
15,1.6e-11,1.841745233815654e-15
16,1.7000000000000003e-11,1.9989617535875967e-15
17,1.8000000000000002e-11,2.104361915044371e-15
18,1.9000000000000002e-11,1.9067336763980527e-15
19,2.0000000000000002e-11,1.9472674266175355e-15
20,2.1000000000000002e-11,2.157868629409832e-15
21,2.2e-11,2.3376746200041253e-15
22,2.3e-11,2.269568833082325e-15
23,2.4e-11,2.3300316240823483e-15
24,2.5e-11,2.3512548866217036e-15
25,2.6e-11,2.5633484532138304e-15
26,2.7000000000000004e-11,2.595892316746011e-15
27,2.8000000000000003e-11,2.7419277650176732e-15
28,2.9000000000000003e-11,2.8128880010693824e-15
29,3e-11,2.6888237322470075e-15
30,3.1e-11,2.523134896334351e-15
31,3.2e-11,2.8142865592745486e-15
32,3.3e-11,3.015925573468986e-15
33,3.4000000000000005e-11,3.051065984282273e-15
34,3.5e-11,3.0531165427768902e-15
35,3.6000000000000005e-11,3.132597883270332e-15
36,3.7e-11,3.2756388575111493e-15
37,3.8000000000000004e-11,3.4481956859481302e-15
38,3.9e-11,3.38726400811167e-15
39,4.0000000000000004e-11,3.55049324607761e-15
40,4.1e-11,3.696972715793125e-15
41,4.2000000000000004e-11,3.730518898505429e-15
42,4.3e-11,3.874006197674036e-15
43,4.4e-11,4.057869861577013e-15
44,4.5000000000000006e-11,4.0901174911695375e-15
45,4.6e-11,4.193726636049435e-15
46,4.7000000000000006e-11,4.400167073351779e-15
47,4.8e-11,4.468609797781837e-15
48,4.9000000000000005e-11,4.495452551185819e-15
49,5e-11,4.5252922215345784e-15
50,5.1000000000000005e-11,4.833841002433872e-15
51,5.2e-11,4.9121180455201064e-15
52,5.3000000000000004e-11,5.174774258469265e-15
53,5.400000000000001e-11,4.903509984023965e-15
54,5.5000000000000004e-11,4.727600816267203e-15
55,5.600000000000001e-11,4.8108459364855785e-15
56,5.7000000000000003e-11,4.809336318829877e-15
57,5.8000000000000007e-11,4.85471219872681e-15
58,5.9e-11,5.282976947090198e-15
59,6e-11,5.29486689287973e-15
60,6.100000000000001e-11,5.240596375293777e-15
61,6.2e-11,5.272000261608772e-15
62,6.3e-11,5.197874248407457e-15
63,6.4e-11,5.342939947386465e-15
64,6.500000000000001e-11,5.746749254029062e-15
65,6.6e-11,5.997281036647136e-15
66,6.7e-11,5.872699853248196e-15
67,6.800000000000001e-11,5.773800516019523e-15
68,6.900000000000001e-11,5.761359209124104e-15
69,7e-11,5.810897626327604e-15
70,7.1e-11,5.847172470095329e-15
71,7.200000000000001e-11,5.907023135883548e-15
72,7.3e-11,5.9240987408578795e-15
73,7.4e-11,6.215476649725378e-15
74,7.5e-11,6.1944194507447465e-15
75,7.600000000000001e-11,6.555393197310729e-15
76,7.7e-11,6.6721567655390875e-15
77,7.8e-11,6.781194454335316e-15
78,7.900000000000001e-11,6.6872950861326525e-15
79,8.000000000000001e-11,6.680416066468782e-15
80,8.1e-11,6.794170789674943e-15
81,8.2e-11,6.933771262276469e-15
82,8.300000000000001e-11,6.855092598565463e-15
83,8.400000000000001e-11,6.99912491059457e-15
84,8.5e-11,6.979421659871539e-15
85,8.6e-11,7.094204134756597e-15
86,8.700000000000001e-11,7.099894994188317e-15
87,8.8e-11,7.405501458541974e-15
88,8.9e-11,7.285755563440253e-15
89,9.000000000000001e-11,7.333471374213043e-15
90,9.100000000000001e-11,7.514407464101077e-15
91,9.2e-11,7.644406913653396e-15
92,9.3e-11,7.473200447253292e-15
93,9.400000000000001e-11,7.459626473747671e-15
94,9.500000000000001e-11,7.404717188112661e-15
95,9.6e-11,7.475178307722045e-15
96,9.7e-11,7.564345852723752e-15
97,9.800000000000001e-11,7.715924584660526e-15
98,9.900000000000001e-11,7.906697680045594e-15
99,1e-10,7.876953021431861e-15
100,1.0100000000000001e-10,7.976510664368972e-15
101,1.0200000000000001e-10,7.861104614121758e-15
102,1.03e-10,7.865635269154268e-15
103,1.04e-10,7.91838871336226e-15
104,1.0500000000000001e-10,7.97197212883951e-15
105,1.0600000000000001e-10,8.184008529312049e-15
106,1.07e-10,8.209794462551638e-15
107,1.0800000000000001e-10,8.183879482062584e-15
108,1.0900000000000001e-10,8.18882365866015e-15
109,1.1000000000000001e-10,8.188620161405138e-15
110,1.11e-10,8.58182436556411e-15
111,1.1200000000000001e-10,8.900835687122888e-15
112,1.1300000000000001e-10,8.630120450657825e-15
113,1.1400000000000001e-10,8.813167886156382e-15
114,1.15e-10,8.636293844922629e-15
115,1.1600000000000001e-10,8.374728607354573e-15
116,1.17e-10,8.58348802395152e-15
117,1.18e-10,8.519208091475301e-15
118,1.19e-10,8.381060047515116e-15
119,1.2e-10,8.021848778909932e-15
120,1.2100000000000002e-10,7.965088038612088e-15
121,1.2200000000000002e-10,8.089257871103608e-15
122,1.2300000000000001e-10,8.089636258706581e-15
123,1.24e-10,8.178782060784579e-15
124,1.25e-10,8.279686273174848e-15
125,1.26e-10,8.10989878526456e-15
126,1.27e-10,8.341900267506842e-15
127,1.28e-10,8.539676408681013e-15
128,1.2900000000000002e-10,8.937384027717097e-15
129,1.3000000000000002e-10,8.73296323037498e-15
130,1.31e-10,8.70025561139974e-15
131,1.32e-10,8.747898779842107e-15
132,1.33e-10,9.018899562642182e-15
133,1.34e-10,8.79566971192858e-15
134,1.35e-10,9.009039022798562e-15
135,1.3600000000000002e-10,9.24193990588698e-15
136,1.3700000000000002e-10,9.050594637959528e-15
137,1.3800000000000001e-10,9.085376076117907e-15
138,1.39e-10,9.229667178520266e-15
139,1.4e-10,9.184529978334988e-15
140,1.41e-10,9.28073059686146e-15
141,1.42e-10,9.502978916730103e-15
142,1.4300000000000002e-10,9.525013007819854e-15
143,1.4400000000000002e-10,9.48903622384344e-15
144,1.4500000000000002e-10,9.497760605670315e-15
145,1.46e-10,9.506127485485616e-15
146,1.47e-10,9.55940430469623e-15
147,1.48e-10,9.628626708320235e-15
148,1.49e-10,9.483597006224275e-15
149,1.5e-10,9.61109928080135e-15
150,1.5100000000000002e-10,9.39783823387682e-15
151,1.5200000000000002e-10,9.720957968340451e-15
152,1.5300000000000001e-10,9.5794303620147e-15
153,1.54e-10,9.793925127550358e-15
154,1.55e-10,9.457240141785138e-15
155,1.56e-10,9.46747578874256e-15
156,1.57e-10,9.78180382918724e-15
157,1.5800000000000002e-10,1.0164152481616101e-14
158,1.5900000000000002e-10,1.0258168577437778e-14
159,1.6000000000000002e-10,9.949637492920073e-15
160,1.61e-10,1.0052340670119328e-14
161,1.62e-10,9.970931368935174e-15
162,1.63e-10,1.0038691281399865e-14
163,1.64e-10,1.0156138553404172e-14
164,1.6500000000000002e-10,1.0154770499254735e-14
165,1.6600000000000002e-10,1.0229534551784365e-14
166,1.6700000000000002e-10,1.0168649543626786e-14
167,1.6800000000000001e-10,1.0186948423710206e-14
168,1.69e-10,1.028274360090657e-14
169,1.7e-10,1.049699587879288e-14
170,1.71e-10,1.055607926920845e-14
171,1.72e-10,1.0801680368812259e-14
172,1.7300000000000002e-10,1.0748243151466323e-14
173,1.7400000000000002e-10,1.0890283709492744e-14
174,1.7500000000000002e-10,1.0695278026065319e-14
175,1.76e-10,1.0741816126856918e-14
176,1.77e-10,1.0647817415267255e-14
177,1.78e-10,1.0859162376036526e-14
178,1.79e-10,1.1055407776368147e-14
179,1.8000000000000002e-10,1.1136499675201286e-14
180,1.8100000000000002e-10,1.1763871733586531e-14
181,1.8200000000000002e-10,1.1871834286684817e-14
182,1.8300000000000001e-10,1.1903451045162324e-14
183,1.84e-10,1.2013447279128579e-14
184,1.85e-10,1.1732234327378884e-14
185,1.86e-10,1.1707209537169411e-14
186,1.8700000000000003e-10,1.1832563890043142e-14
187,1.8800000000000002e-10,1.1810667609273e-14
188,1.8900000000000002e-10,1.1722275698301295e-14
189,1.9000000000000002e-10,1.1617908740821463e-14
190,1.91e-10,1.1545738171019156e-14
191,1.92e-10,1.149055117386735e-14
192,1.93e-10,1.15256076558133e-14
193,1.94e-10,1.1385804518184691e-14
194,1.9500000000000002e-10,1.1623098576625055e-14
195,1.9600000000000002e-10,1.1550583300447187e-14
196,1.9700000000000002e-10,1.159038712889875e-14
197,1.9800000000000001e-10,1.1586304942088563e-14
198,1.99e-10,1.158652614659582e-14
199,2e-10,1.1525909157820685e-14
200,2.01e-10,1.1636423555362189e-14
201,2.0200000000000003e-10,1.1470305613141874e-14
202,2.0300000000000002e-10,1.164236705915306e-14
203,2.0400000000000002e-10,1.1822044502851969e-14
204,2.0500000000000002e-10,1.1550917732687662e-14
205,2.06e-10,1.17818314709597e-14
206,2.07e-10,1.19870132480462e-14
207,2.08e-10,1.175237366294756e-14
208,2.0900000000000003e-10,1.181700756212355e-14
209,2.1000000000000002e-10,1.1888109576657962e-14
210,2.1100000000000002e-10,1.1947336597183298e-14
211,2.1200000000000002e-10,1.1931355965560751e-14
212,2.1300000000000001e-10,1.1781274841986977e-14
213,2.14e-10,1.1948309181059403e-14
214,2.15e-10,1.199698662311153e-14
215,2.1600000000000003e-10,1.1973334624351722e-14
216,2.1700000000000003e-10,1.2239535249979747e-14
217,2.1800000000000002e-10,1.2309420252433647e-14
218,2.1900000000000002e-10,1.2343830007244645e-14
219,2.2000000000000002e-10,1.2284339688665499e-14
220,2.21e-10,1.2350126975159379e-14
221,2.22e-10,1.2607837614570099e-14
222,2.23e-10,1.2391816102940016e-14
223,2.2400000000000003e-10,1.2191332116005385e-14
224,2.2500000000000002e-10,1.2016807367151986e-14
225,2.2600000000000002e-10,1.212528437176701e-14
226,2.2700000000000002e-10,1.1924664828011697e-14
227,2.2800000000000001e-10,1.1930075059243921e-14
228,2.29e-10,1.1943519301785659e-14
229,2.3e-10,1.2106560944745684e-14
230,2.3100000000000003e-10,1.20649851659952e-14
231,2.3200000000000003e-10,1.2067848055508196e-14
232,2.33e-10,1.2330454723262703e-14
233,2.34e-10,1.2601356552245463e-14
234,2.35e-10,1.266581432181518e-14
235,2.36e-10,1.2376521556030444e-14
236,2.37e-10,1.2698256602663987e-14
237,2.38e-10,1.2509488882918303e-14
238,2.39e-10,1.2712994895027282e-14
239,2.4e-10,1.284848724220057e-14
240,2.41e-10,1.3019232826670532e-14
241,2.4200000000000004e-10,1.3125177467952887e-14
242,2.4300000000000004e-10,1.302096988820724e-14
243,2.4400000000000004e-10,1.3069548496988346e-14
244,2.4500000000000003e-10,1.2837766240310464e-14
245,2.4600000000000003e-10,1.2967128958270956e-14
246,2.4700000000000003e-10,1.2956690694512269e-14
247,2.48e-10,1.2942527432324043e-14
248,2.49e-10,1.2775602370844321e-14
249,2.5e-10,1.2935108623662626e-14
250,2.51e-10,1.2971103256076446e-14
251,2.52e-10,1.2882768379216347e-14
252,2.53e-10,1.290361384167589e-14
253,2.54e-10,1.2957772575513837e-14
254,2.55e-10,1.3062379244130568e-14
255,2.56e-10,1.3098328004166442e-14
256,2.5700000000000004e-10,1.3430779376803361e-14
257,2.5800000000000004e-10,1.3477252929873675e-14
258,2.5900000000000004e-10,1.3615064549203274e-14
259,2.6000000000000003e-10,1.3606941923344186e-14
260,2.6100000000000003e-10,1.3092863087688205e-14
261,2.62e-10,1.3188105284227143e-14
262,2.63e-10,1.327876575705301e-14
263,2.64e-10,1.3354495575187298e-14
264,2.65e-10,1.3605067164967836e-14
265,2.66e-10,1.3546855671585547e-14
266,2.67e-10,1.3874517436425481e-14
267,2.68e-10,1.3804827601418028e-14
268,2.69e-10,1.354283726066409e-14
269,2.7e-10,1.329997918596251e-14
270,2.7100000000000005e-10,1.3023558126959712e-14
271,2.7200000000000004e-10,1.3027924832988393e-14
272,2.7300000000000004e-10,1.295474679612722e-14
273,2.7400000000000004e-10,1.2896939802819191e-14
274,2.7500000000000003e-10,1.2876521734954697e-14
275,2.7600000000000003e-10,1.2954234034754008e-14
276,2.77e-10,1.2930476823077734e-14
277,2.78e-10,1.2948223646101947e-14
278,2.79e-10,1.3118177968419528e-14
279,2.8e-10,1.305449865468246e-14
280,2.81e-10,1.3163112394358779e-14
281,2.82e-10,1.3245946813055113e-14
282,2.83e-10,1.3297505295698984e-14
283,2.84e-10,1.3186291358803811e-14
284,2.85e-10,1.3205087713230694e-14
285,2.8600000000000005e-10,1.3478638284732233e-14
286,2.8700000000000004e-10,1.3540988180989771e-14
287,2.8800000000000004e-10,1.3737313981860129e-14
288,2.8900000000000004e-10,1.3785220038321225e-14
289,2.9000000000000003e-10,1.377192954130949e-14
290,2.9100000000000003e-10,1.3940517778712712e-14
291,2.92e-10,1.392028769583197e-14
292,2.93e-10,1.4044041178305209e-14
293,2.94e-10,1.4401169790469763e-14
294,2.95e-10,1.4175939811120432e-14
295,2.96e-10,1.4176420433792966e-14
296,2.97e-10,1.427282218221758e-14
297,2.98e-10,1.4414561493157317e-14
298,2.99e-10,1.4470388949329448e-14
299,3e-10,1.459177403648622e-14
300,3.0100000000000005e-10,1.44602067339466e-14
301,3.0200000000000004e-10,1.4422819610576524e-14
302,3.0300000000000004e-10,1.4422848776206035e-14
303,3.0400000000000004e-10,1.4506981009235182e-14
304,3.0500000000000003e-10,1.4422446027211698e-14
305,3.0600000000000003e-10,1.4500495802111563e-14
306,3.07e-10,1.4854247040361128e-14
307,3.08e-10,1.4349072185485773e-14
308,3.09e-10,1.4858163245766417e-14
309,3.1e-10,1.472514274452567e-14
310,3.11e-10,1.4959404119294506e-14
311,3.12e-10,1.5082516789413056e-14
312,3.13e-10,1.489416945598547e-14
313,3.14e-10,1.4928554683203906e-14
314,3.1500000000000005e-10,1.507252359656456e-14
315,3.1600000000000005e-10,1.5310875589010615e-14
316,3.1700000000000004e-10,1.5272812339437504e-14
317,3.1800000000000004e-10,1.5108730154530824e-14
318,3.1900000000000004e-10,1.497597420114803e-14
319,3.2000000000000003e-10,1.518632488986589e-14
320,3.2100000000000003e-10,1.4923609098949362e-14
321,3.22e-10,1.5096047531507898e-14
322,3.23e-10,1.5112564227100888e-14
323,3.24e-10,1.5192843101457766e-14
324,3.25e-10,1.5653252481723424e-14
325,3.26e-10,1.567599288347272e-14
326,3.27e-10,1.5566434855029872e-14
327,3.28e-10,1.5320526089938014e-14
328,3.29e-10,1.5130034501984955e-14
329,3.3000000000000005e-10,1.5237847187515105e-14
330,3.3100000000000005e-10,1.5090698042068885e-14
