,Time,DMA
0,1e-12,8.855113268055387e-17
1,2e-12,1.1220591870317817e-16
2,3e-12,1.4353279710015052e-16
3,4e-12,1.6447190233497428e-16
4,5.0000000000000005e-12,1.8074771825301886e-16
5,6e-12,2.4644235201324954e-16
6,7.000000000000001e-12,2.611469498712422e-16
7,8e-12,2.6643043853360465e-16
8,9.000000000000001e-12,2.55872629102762e-16
9,1.0000000000000001e-11,2.889189004544594e-16
10,1.1e-11,2.9623004870087036e-16
11,1.2e-11,3.002057968656082e-16
12,1.3e-11,2.819488445239562e-16
13,1.4000000000000002e-11,2.948619814413355e-16
14,1.5e-11,3.542897918102086e-16
15,1.6e-11,3.379473024439162e-16
16,1.7000000000000003e-11,3.617124564596268e-16
17,1.8000000000000002e-11,3.624064399303585e-16
18,1.9000000000000002e-11,3.780349616289936e-16
19,2.0000000000000002e-11,4.245648558252758e-16
20,2.1000000000000002e-11,4.2152506736771934e-16
21,2.2e-11,4.1234914873999585e-16
22,2.3e-11,3.9129271168134466e-16
23,2.4e-11,4.0675978995184267e-16
24,2.5e-11,4.1634895465489065e-16
25,2.6e-11,4.013483612335622e-16
26,2.7000000000000004e-11,4.4207255750514656e-16
27,2.8000000000000003e-11,4.36210818526552e-16
28,2.9000000000000003e-11,4.3255003601287526e-16
29,3e-11,3.902079274413494e-16
30,3.1e-11,4.2665727118673243e-16
31,3.2e-11,4.4033489081233253e-16
32,3.3e-11,4.720265570068094e-16
33,3.4000000000000005e-11,4.824968224042093e-16
34,3.5e-11,5.061500354878143e-16
35,3.6000000000000005e-11,4.726104965199885e-16
36,3.7e-11,4.571285289066457e-16
37,3.8000000000000004e-11,4.718981964466683e-16
38,3.9e-11,4.615399110132045e-16
39,4.0000000000000004e-11,4.701594881505033e-16
40,4.1e-11,4.42109067244468e-16
41,4.2000000000000004e-11,4.850032903130006e-16
42,4.3e-11,4.796567784533314e-16
43,4.4e-11,5.255915805730654e-16
44,4.5000000000000006e-11,5.323303160764217e-16
45,4.6e-11,5.4256478273043565e-16
46,4.7000000000000006e-11,5.631468028774661e-16
47,4.8e-11,5.622627358065353e-16
48,4.9000000000000005e-11,5.811172380129137e-16
49,5e-11,5.812162994808112e-16
50,5.1000000000000005e-11,5.462100100589085e-16
51,5.2e-11,5.72377699046842e-16
52,5.3000000000000004e-11,5.774079772293148e-16
53,5.400000000000001e-11,5.994467431561832e-16
54,5.5000000000000004e-11,6.093012021622953e-16
55,5.600000000000001e-11,6.124514653701315e-16
56,5.7000000000000003e-11,6.505374731417969e-16
57,5.8000000000000007e-11,6.485483049147727e-16
58,5.9e-11,6.327301058044278e-16
59,6e-11,6.372606325611188e-16
60,6.100000000000001e-11,6.546430301268718e-16
