,Time,BUT,DMA
0,1e-12,1.0673901322101711e-16,7.323593872764166e-17
1,2e-12,2.173627606295146e-16,1.0774396319251804e-16
2,3e-12,2.154196814859902e-16,1.1191770724366923e-16
3,4e-12,2.3760074255598725e-16,1.3129877895658656e-16
4,5.0000000000000005e-12,2.300897429831953e-16,1.4490012197786046e-16
5,6e-12,2.304588826779221e-16,1.6436182728105206e-16
6,7.000000000000001e-12,2.3927650026760184e-16,1.7612864625485424e-16
7,8e-12,2.663044956766063e-16,1.7013897540979554e-16
8,9.000000000000001e-12,3.0337413990042355e-16,1.7524678678834385e-16
9,1.0000000000000001e-11,2.7391263060341067e-16,1.5907392358475723e-16
10,1.1e-11,2.930632606805584e-16,1.7564326772830015e-16
11,1.2e-11,3.247290262484289e-16,1.8462133997890523e-16
12,1.3e-11,3.3860605708420933e-16,2.071087721616725e-16
13,1.4000000000000002e-11,3.3337755936419887e-16,2.219487820433494e-16
14,1.5e-11,3.4493740114034805e-16,2.2374371268794467e-16
15,1.6e-11,3.503611850404291e-16,2.465953669922794e-16
16,1.7000000000000003e-11,4.265122274881294e-16,2.695421558289228e-16
17,1.8000000000000002e-11,4.47232381113721e-16,3.0308586447935083e-16
18,1.9000000000000002e-11,4.628665946393448e-16,2.656475774037246e-16
19,2.0000000000000002e-11,3.983116711429108e-16,2.8098425864093643e-16
20,2.1000000000000002e-11,4.711119078900716e-16,2.7964651634768825e-16
21,2.2e-11,4.878027532226487e-16,3.040962689122386e-16
22,2.3e-11,5.920458824243101e-16,3.004098307758557e-16
23,2.4e-11,5.972701347079935e-16,3.6162149464596004e-16
24,2.5e-11,6.638295359808198e-16,3.6152904787465445e-16
25,2.6e-11,5.848116461384014e-16,3.148056959515574e-16
26,2.7000000000000004e-11,6.858223560826944e-16,3.583265229715141e-16
27,2.8000000000000003e-11,6.779490054771452e-16,3.5609637169184284e-16
28,2.9000000000000003e-11,6.488887585138323e-16,3.264533107468441e-16
29,3e-11,6.297161971383487e-16,3.188344055065378e-16
30,3.1e-11,5.812966938587656e-16,3.091117269319555e-16
31,3.2e-11,6.153844296668599e-16,3.564123837091295e-16
32,3.3e-11,6.170567288837344e-16,3.187947117547189e-16
33,3.4000000000000005e-11,6.297252384029914e-16,3.4953419492697916e-16
34,3.5e-11,6.474298674091851e-16,3.8655555929568055e-16
35,3.6000000000000005e-11,6.49350259273883e-16,3.954104557347573e-16
36,3.7e-11,6.548753338212037e-16,3.9511806159593696e-16
37,3.8000000000000004e-11,6.756097553067512e-16,4.1726516205775837e-16
38,3.9e-11,6.928091555949985e-16,4.0722688965665054e-16
39,4.0000000000000004e-11,7.449850862695836e-16,4.158265869581707e-16
40,4.1e-11,6.819297316137983e-16,3.9580090367992507e-16
41,4.2000000000000004e-11,6.223779940363626e-16,4.0301635023054214e-16
42,4.3e-11,6.413772208825093e-16,3.954302199671577e-16
43,4.4e-11,7.304189751062747e-16,4.065698883183054e-16
44,4.5000000000000006e-11,6.809886111250574e-16,4.1691779001276533e-16
45,4.6e-11,6.625698584815333e-16,4.138471792039029e-16
46,4.7000000000000006e-11,7.426241521897568e-16,4.606888604719643e-16
47,4.8e-11,7.842025780888232e-16,4.596728914941608e-16
48,4.9000000000000005e-11,7.40521353844173e-16,4.501986446927234e-16
49,5e-11,7.31470918021458e-16,4.80424141184305e-16
50,5.1000000000000005e-11,7.246545760622287e-16,4.804366233556596e-16
51,5.2e-11,7.857033556442916e-16,5.061949829141115e-16
52,5.3000000000000004e-11,7.293218267031015e-16,4.536046368662034e-16
53,5.400000000000001e-11,7.447959972505539e-16,4.892784671865725e-16
54,5.5000000000000004e-11,7.764469963472704e-16,4.3482885581395947e-16
55,5.600000000000001e-11,7.559077547272095e-16,4.397031852977759e-16
