,Time,OCM
0,1e-12,7.510825800027245e-18
1,2e-12,8.87148946060489e-18
2,3e-12,1.0914083019795033e-17
3,4e-12,1.4239434650050272e-17
4,5.0000000000000005e-12,1.4684067189022e-17
5,6e-12,1.3299191983812064e-17
6,7.000000000000001e-12,1.789387784866194e-17
7,8e-12,1.671008853969755e-17
8,9.000000000000001e-12,1.7167710322776146e-17
9,1.0000000000000001e-11,1.571235320122632e-17
10,1.1e-11,1.7293464214129914e-17
11,1.2e-11,2.2585540725850988e-17
12,1.3e-11,2.251818324841225e-17
13,1.4000000000000002e-11,2.506944895848418e-17
14,1.5e-11,2.4292340333770334e-17
15,1.6e-11,3.061485839428741e-17
16,1.7000000000000003e-11,3.718604660276367e-17
17,1.8000000000000002e-11,4.5278074871838404e-17
18,1.9000000000000002e-11,4.838228397512889e-17
19,2.0000000000000002e-11,4.969198366030202e-17
20,2.1000000000000002e-11,5.660949240122269e-17
21,2.2e-11,6.198909328772273e-17
22,2.3e-11,6.363434730797246e-17
23,2.4e-11,6.601162783839164e-17
24,2.5e-11,6.611647775633733e-17
25,2.6e-11,6.81952693412063e-17
26,2.7000000000000004e-11,6.976324682812362e-17
27,2.8000000000000003e-11,6.963432221038256e-17
28,2.9000000000000003e-11,7.17703317080465e-17
29,3e-11,7.33857695649269e-17
30,3.1e-11,7.343791592709387e-17
31,3.2e-11,7.753561215741588e-17
32,3.3e-11,7.538778784265306e-17
33,3.4000000000000005e-11,7.534901101717443e-17
34,3.5e-11,7.501380140156142e-17
35,3.6000000000000005e-11,7.93620396497261e-17
36,3.7e-11,7.874751430133284e-17
37,3.8000000000000004e-11,8.142077531784187e-17
38,3.9e-11,8.146280426474192e-17
39,4.0000000000000004e-11,8.102249684049788e-17
40,4.1e-11,8.166267739363324e-17
41,4.2000000000000004e-11,8.367627429468493e-17
42,4.3e-11,8.105505380771031e-17
43,4.4e-11,7.84043235057434e-17
44,4.5000000000000006e-11,8.273861720704009e-17
45,4.6e-11,8.157465925353725e-17
46,4.7000000000000006e-11,8.225000772032561e-17
47,4.8e-11,8.332609993515821e-17
48,4.9000000000000005e-11,8.187427612761377e-17
49,5e-11,8.195232569869667e-17
50,5.1000000000000005e-11,8.082980739394981e-17
51,5.2e-11,8.070023914552479e-17
52,5.3000000000000004e-11,8.000636979585038e-17
53,5.400000000000001e-11,8.200035105633203e-17
54,5.5000000000000004e-11,8.337690919507165e-17
55,5.600000000000001e-11,8.445491002800286e-17
56,5.7000000000000003e-11,8.703725261435126e-17
57,5.8000000000000007e-11,8.881048444865919e-17
58,5.9e-11,8.443396272217384e-17
59,6e-11,8.501960921867282e-17
60,6.100000000000001e-11,8.609048543827513e-17
61,6.2e-11,8.872351653451877e-17
62,6.3e-11,8.819126239063363e-17
63,6.4e-11,8.845323935470365e-17
64,6.500000000000001e-11,8.727272493297668e-17
65,6.6e-11,8.891036111370825e-17
66,6.7e-11,9.074332410547632e-17
67,6.800000000000001e-11,8.8837165111922e-17
68,6.900000000000001e-11,8.905439802940109e-17
69,7e-11,8.907383620612561e-17
70,7.1e-11,9.165387734327087e-17
71,7.200000000000001e-11,9.076570045825224e-17
72,7.3e-11,8.58853783680216e-17
73,7.4e-11,8.998326420574494e-17
74,7.5e-11,9.220768730426775e-17
75,7.600000000000001e-11,9.375693823807266e-17
76,7.7e-11,9.342911351018181e-17
77,7.8e-11,9.559582918484884e-17
78,7.900000000000001e-11,9.452807685100667e-17
79,8.000000000000001e-11,9.678563930345282e-17
80,8.1e-11,9.741724413930112e-17
81,8.2e-11,9.305117252907907e-17
82,8.300000000000001e-11,9.837223733800971e-17
83,8.400000000000001e-11,9.670477916692634e-17
84,8.5e-11,9.799387378863955e-17
85,8.6e-11,9.93916190349871e-17
86,8.700000000000001e-11,1.0038026615047604e-16
87,8.8e-11,9.657191332728414e-17
88,8.9e-11,9.676035586421909e-17
89,9.000000000000001e-11,9.702974558479446e-17
90,9.100000000000001e-11,9.915397850795861e-17
91,9.2e-11,1.0035424788004139e-16
92,9.3e-11,9.798958778798974e-17
93,9.400000000000001e-11,9.962604719838284e-17
94,9.500000000000001e-11,9.500275579357652e-17
95,9.6e-11,9.764572752226247e-17
96,9.7e-11,9.861654476474031e-17
97,9.800000000000001e-11,1.0223776005560077e-16
98,9.900000000000001e-11,1.0385121177486039e-16
99,1e-10,1.0038415048142472e-16
100,1.0100000000000001e-10,1.0225369420035419e-16
101,1.0200000000000001e-10,1.0134702034977377e-16
102,1.03e-10,1.0337454473754234e-16
103,1.04e-10,1.0234298926062822e-16
104,1.0500000000000001e-10,1.0205723896062219e-16
105,1.0600000000000001e-10,1.0482482256065727e-16
106,1.07e-10,1.0320162898879415e-16
107,1.0800000000000001e-10,1.0267214033943579e-16
108,1.0900000000000001e-10,1.0268449097615974e-16
109,1.1000000000000001e-10,1.0211036251306401e-16
110,1.11e-10,1.0283198182417619e-16
111,1.1200000000000001e-10,1.0468456554215823e-16
112,1.1300000000000001e-10,1.0392420881027167e-16
113,1.1400000000000001e-10,1.0387950562076744e-16
114,1.15e-10,1.011526626573334e-16
115,1.1600000000000001e-10,1.0367349040071859e-16
116,1.17e-10,1.0585572420437111e-16
117,1.18e-10,1.0549461419713173e-16
118,1.19e-10,1.0647989122242374e-16
119,1.2e-10,1.0462840244929637e-16
120,1.2100000000000002e-10,1.1034439351691791e-16
121,1.2200000000000002e-10,1.0331123618416883e-16
122,1.2300000000000001e-10,1.0802800158179276e-16
123,1.24e-10,1.079902521844148e-16
124,1.25e-10,1.0496990762364268e-16
125,1.26e-10,1.072540975864452e-16
126,1.27e-10,1.0799788324657546e-16
127,1.28e-10,1.0655561534843684e-16
128,1.2900000000000002e-10,1.0710487770194127e-16
129,1.3000000000000002e-10,1.0943206606033739e-16
130,1.31e-10,1.0907137238942528e-16
131,1.32e-10,1.0792365495667222e-16
132,1.33e-10,1.081217905161653e-16
133,1.34e-10,1.0884178168256983e-16
134,1.35e-10,1.0797588864806854e-16
135,1.3600000000000002e-10,1.0932293549251754e-16
136,1.3700000000000002e-10,1.0912742943097889e-16
137,1.3800000000000001e-10,1.1257036532755384e-16
138,1.39e-10,1.0951376702529233e-16
139,1.4e-10,1.1263200848170074e-16
140,1.41e-10,1.0949212461553592e-16
141,1.42e-10,1.0907735444315201e-16
142,1.4300000000000002e-10,1.119656900801158e-16
143,1.4400000000000002e-10,1.1048216063823073e-16
144,1.4500000000000002e-10,1.1135757610863964e-16
145,1.46e-10,1.1221184206646292e-16
146,1.47e-10,1.1278081347417435e-16
147,1.48e-10,1.150661667707876e-16
148,1.49e-10,1.128221516228905e-16
149,1.5e-10,1.1610714683701647e-16
150,1.5100000000000002e-10,1.1408795561767217e-16
151,1.5200000000000002e-10,1.1953123022584594e-16
152,1.5300000000000001e-10,1.181301308595706e-16
153,1.54e-10,1.1958213525820073e-16
154,1.55e-10,1.221167602137974e-16
155,1.56e-10,1.1692198286637326e-16
156,1.57e-10,1.1667518733179477e-16
157,1.5800000000000002e-10,1.1856943616099891e-16
158,1.5900000000000002e-10,1.1644106738530106e-16
159,1.6000000000000002e-10,1.1855265194122296e-16
160,1.61e-10,1.1552499710759836e-16
161,1.62e-10,1.1700173107621642e-16
162,1.63e-10,1.191986038880123e-16
163,1.64e-10,1.1681201583825482e-16
164,1.6500000000000002e-10,1.1472815964076786e-16
165,1.6600000000000002e-10,1.151391783821635e-16
166,1.6700000000000002e-10,1.1352410754701845e-16
167,1.6800000000000001e-10,1.1528423473162013e-16
