,Time,BUT,OCM
0,1e-12,1.3698684365885754e-17,1.1935287339697413e-17
1,2e-12,9.609660937314098e-18,1.1348207214585869e-17
2,3e-12,2.118795220889196e-17,1.2484022697533072e-17
3,4e-12,3.278929633166993e-17,1.3465460286042481e-17
4,5.0000000000000005e-12,2.7439441141252875e-17,1.4103893591471035e-17
5,6e-12,3.0736090401581103e-17,1.703153841956159e-17
6,7.000000000000001e-12,3.3155801968768725e-17,1.7110573082663287e-17
7,8e-12,4.45092707748776e-17,1.8675743109277212e-17
8,9.000000000000001e-12,3.929709332189405e-17,2.117665043900396e-17
9,1.0000000000000001e-11,3.710148220497956e-17,1.853902580888643e-17
10,1.1e-11,4.162822992894515e-17,2.0976688512235144e-17
11,1.2e-11,4.672026726989147e-17,2.420881351468996e-17
12,1.3e-11,4.20038465334003e-17,2.613289679250248e-17
13,1.4000000000000002e-11,4.995609304472269e-17,2.684495406080003e-17
14,1.5e-11,5.690535918997634e-17,2.775701321314804e-17
15,1.6e-11,4.8082108421135715e-17,2.9786204890323274e-17
16,1.7000000000000003e-11,5.086044508755756e-17,2.7282246985816747e-17
17,1.8000000000000002e-11,4.7352535157098285e-17,3.0298686632662685e-17
18,1.9000000000000002e-11,4.9350590495487616e-17,3.517881538902132e-17
19,2.0000000000000002e-11,5.278535521276109e-17,3.263593330705434e-17
20,2.1000000000000002e-11,4.765135060339436e-17,3.3394908913838826e-17
21,2.2e-11,5.3805731210774265e-17,3.668249487900279e-17
22,2.3e-11,6.272736727360416e-17,3.4574239035514894e-17
23,2.4e-11,6.821310031304391e-17,3.568809129702704e-17
24,2.5e-11,7.381207197634112e-17,3.469893196440274e-17
25,2.6e-11,8.69569753295891e-17,4.036407117577938e-17
26,2.7000000000000004e-11,7.398567742168928e-17,3.782877194447717e-17
27,2.8000000000000003e-11,7.883367882117005e-17,3.758941051227732e-17
28,2.9000000000000003e-11,7.652533983994027e-17,4.103106077107584e-17
29,3e-11,7.147204721653891e-17,4.2296335527256225e-17
30,3.1e-11,8.085072694067865e-17,4.3072740202934926e-17
31,3.2e-11,7.477988992047464e-17,4.329583394498148e-17
32,3.3e-11,8.315811664375018e-17,4.218231573622168e-17
33,3.4000000000000005e-11,8.238250727574393e-17,4.124421714179871e-17
34,3.5e-11,8.119282384545831e-17,4.4023156203332065e-17
35,3.6000000000000005e-11,8.35055166926128e-17,4.3703973164733216e-17
36,3.7e-11,8.848744348956563e-17,4.749317235667696e-17
37,3.8000000000000004e-11,8.770487808752523e-17,4.6430754050927827e-17
38,3.9e-11,1.0225166406886393e-16,4.89630085526678e-17
39,4.0000000000000004e-11,1.0733219078188598e-16,5.306242311729176e-17
40,4.1e-11,1.0815239717378878e-16,4.9724449990888087e-17
41,4.2000000000000004e-11,1.179786916124422e-16,5.5293326316013495e-17
42,4.3e-11,1.1525294522210183e-16,5.539511924345089e-17
43,4.4e-11,1.157791971949453e-16,5.106276753037411e-17
44,4.5000000000000006e-11,1.233006517962403e-16,5.57633643228064e-17
45,4.6e-11,1.096957208874367e-16,5.624098444094458e-17
46,4.7000000000000006e-11,1.2100504350175876e-16,5.687281628628548e-17
47,4.8e-11,1.0945168917838638e-16,5.30544334223443e-17
48,4.9000000000000005e-11,1.2219330778497621e-16,5.65029678497913e-17
49,5e-11,1.161442350831389e-16,5.709731092808155e-17
50,5.1000000000000005e-11,1.264912309109946e-16,6.030399689744228e-17
