,Time,OCM,BUT
0,1e-12,1.4579519562224092e-17,1.781199158896978e-17
1,2e-12,1.7279293543546215e-17,1.9550119690756962e-17
2,3e-12,1.9013009127581453e-17,2.5682487723838158e-17
3,4e-12,2.674630751016982e-17,4.6437366785440315e-17
4,5.0000000000000005e-12,3.0359940516079085e-17,5.2163359483846965e-17
5,6e-12,3.1523210799866655e-17,5.367064425842602e-17
6,7.000000000000001e-12,3.3084233885099464e-17,5.697346819377987e-17
7,8e-12,3.661209453342537e-17,6.615068228271703e-17
8,9.000000000000001e-12,3.55880746337588e-17,6.195303800292954e-17
9,1.0000000000000001e-11,4.6344682818711293e-17,8.082530285020768e-17
10,1.1e-11,5.1079601408769776e-17,7.732271107328611e-17
11,1.2e-11,4.5696815170042674e-17,7.581134617927158e-17
12,1.3e-11,5.641687763018887e-17,9.652946065954017e-17
13,1.4000000000000002e-11,5.3439617464044805e-17,8.424027991560627e-17
14,1.5e-11,5.390555559917721e-17,9.263508872268956e-17
15,1.6e-11,5.3449848395070396e-17,9.030431427160476e-17
16,1.7000000000000003e-11,5.256309586251573e-17,9.326187308380563e-17
17,1.8000000000000002e-11,5.65094477363695e-17,9.375185056539811e-17
18,1.9000000000000002e-11,5.604009552833948e-17,9.35536723991542e-17
19,2.0000000000000002e-11,5.649968285046966e-17,1.0085614355137284e-16
20,2.1000000000000002e-11,5.778739401931179e-17,1.0322245211118796e-16
21,2.2e-11,5.986290992938834e-17,9.774901909951272e-17
22,2.3e-11,5.612205147388425e-17,9.808488761010487e-17
23,2.4e-11,6.329191853314556e-17,1.0134551047649026e-16
24,2.5e-11,6.328118854777918e-17,1.0033090324996505e-16
25,2.6e-11,6.215496029381729e-17,9.868117536654358e-17
26,2.7000000000000004e-11,5.211119885721604e-17,8.772668735452616e-17
27,2.8000000000000003e-11,5.836978704173342e-17,9.589209938872136e-17
28,2.9000000000000003e-11,6.444780686634785e-17,1.0159600433105026e-16
29,3e-11,6.174590614906437e-17,9.660906141302846e-17
30,3.1e-11,6.105807202944643e-17,9.507306985608348e-17
31,3.2e-11,6.093769023885443e-17,9.246144293056467e-17
32,3.3e-11,6.01784466364218e-17,9.634036428328396e-17
33,3.4000000000000005e-11,6.077198159411181e-17,9.255166926028517e-17
34,3.5e-11,6.020931531355677e-17,9.99256253873301e-17
35,3.6000000000000005e-11,6.00055233952037e-17,9.71149308172273e-17
36,3.7e-11,5.847040402430934e-17,9.57598327257193e-17
37,3.8000000000000004e-11,6.430895387691371e-17,1.0092152026358983e-16
38,3.9e-11,6.415015916693682e-17,1.0165367042355801e-16
39,4.0000000000000004e-11,6.779469411490994e-17,1.0835209709358838e-16
40,4.1e-11,6.902330360774648e-17,1.0941093553669908e-16
41,4.2000000000000004e-11,7.000460729439454e-17,1.1576102445940629e-16
42,4.3e-11,7.345833626177414e-17,1.162517119733893e-16
43,4.4e-11,7.011781502978542e-17,1.1129795389464167e-16
44,4.5000000000000006e-11,7.064154783097492e-17,1.1170593747713286e-16
45,4.6e-11,6.72180627198047e-17,1.115952336900367e-16
46,4.7000000000000006e-11,7.3126989797168e-17,1.1127510248712904e-16
47,4.8e-11,7.519693604150012e-17,1.077584572460192e-16
48,4.9000000000000005e-11,7.530975244974752e-17,1.066318011343664e-16
49,5e-11,7.650159275688798e-17,1.0576080526059642e-16
50,5.1000000000000005e-11,7.795751662055672e-17,1.1058747446207018e-16
51,5.2e-11,7.938052611493285e-17,1.1123470838524112e-16
52,5.3000000000000004e-11,8.168020318911918e-17,1.2407113883650008e-16
53,5.400000000000001e-11,7.712621588047354e-17,1.135364414030301e-16
54,5.5000000000000004e-11,7.87544032662767e-17,1.0637478289952734e-16
55,5.600000000000001e-11,7.722352267073221e-17,1.0756844430012042e-16
56,5.7000000000000003e-11,7.9453431737616e-17,1.1600758754730984e-16
57,5.8000000000000007e-11,7.808379107955319e-17,1.1436658101759923e-16
58,5.9e-11,7.381575628082601e-17,1.061567828630078e-16
59,6e-11,7.647955757298023e-17,1.1220371109400769e-16
60,6.100000000000001e-11,6.987914441660553e-17,1.0745361327280745e-16
61,6.2e-11,7.838222802669188e-17,1.125071486781468e-16
62,6.3e-11,7.614467095419654e-17,1.1072499537283773e-16
63,6.4e-11,8.208720244959146e-17,1.214963615313311e-16
64,6.500000000000001e-11,7.899815400536845e-17,1.1647799566626994e-16
65,6.6e-11,8.021657223669227e-17,1.1233933462703895e-16
66,6.7e-11,7.69370887236374e-17,1.1572509411937296e-16
67,6.800000000000001e-11,7.887950083636903e-17,1.1571253611788542e-16
68,6.900000000000001e-11,8.051084906988444e-17,1.20259915587005e-16
69,7e-11,8.204283925216172e-17,1.191159906038467e-16
70,7.1e-11,8.136198138600081e-17,1.1516155841575657e-16
71,7.200000000000001e-11,8.016896997898892e-17,1.0796282284095068e-16
72,7.3e-11,8.147531987325771e-17,1.1834396194653848e-16
73,7.4e-11,8.218914680240444e-17,1.1817986976508065e-16
74,7.5e-11,8.292589854992828e-17,1.2040942545189702e-16
75,7.600000000000001e-11,8.702892210304116e-17,1.2455799199721062e-16
76,7.7e-11,8.309882138264553e-17,1.2197196531747042e-16
77,7.8e-11,8.478339810362792e-17,1.26329641284109e-16
78,7.900000000000001e-11,8.581322682834955e-17,1.2034622984866368e-16
79,8.000000000000001e-11,9.054122367841521e-17,1.2731029591763995e-16
80,8.1e-11,8.959724325806811e-17,1.2959344616046103e-16
81,8.2e-11,8.675969083742826e-17,1.220055040482944e-16
82,8.300000000000001e-11,8.695493638958196e-17,1.2061386516282106e-16
83,8.400000000000001e-11,8.384112093966924e-17,1.198922281373925e-16
84,8.5e-11,8.770234833576236e-17,1.289261622795564e-16
85,8.6e-11,8.162618958730815e-17,1.2087928318748524e-16
86,8.700000000000001e-11,8.381967271640599e-17,1.1482401666565917e-16
87,8.8e-11,8.753605567854204e-17,1.2163743616999558e-16
88,8.9e-11,8.497909854303404e-17,1.1946063525202615e-16
89,9.000000000000001e-11,8.478980816379618e-17,1.2337747017170106e-16
90,9.100000000000001e-11,8.739501692468596e-17,1.2747023531518527e-16
91,9.2e-11,8.648463803560274e-17,1.237810434371015e-16
92,9.3e-11,9.410919496936345e-17,1.3256822233921726e-16
93,9.400000000000001e-11,9.248069735179242e-17,1.2523742666100966e-16
94,9.500000000000001e-11,8.951921201656956e-17,1.1773753882817473e-16
95,9.6e-11,8.413092087959537e-17,1.198075067512065e-16
96,9.7e-11,8.729983094180833e-17,1.2401175644862102e-16
97,9.800000000000001e-11,9.021072486914714e-17,1.2485747702557327e-16
98,9.900000000000001e-11,8.899480527131622e-17,1.2140086219953662e-16
99,1e-10,9.080475174568252e-17,1.2661199025262165e-16
100,1.0100000000000001e-10,9.365442649535609e-17,1.2574619074580006e-16
101,1.0200000000000001e-10,9.237696022934569e-17,1.2934295961854003e-16
102,1.03e-10,8.926269149466338e-17,1.2975664853298542e-16
103,1.04e-10,9.303480510048826e-17,1.255708693830299e-16
104,1.0500000000000001e-10,9.069244655721515e-17,1.2838515039319013e-16
105,1.0600000000000001e-10,8.80942360411511e-17,1.2962942552798936e-16
106,1.07e-10,8.920868856870459e-17,1.2927446080003994e-16
107,1.0800000000000001e-10,8.656803143199156e-17,1.2267479147401954e-16
108,1.0900000000000001e-10,8.954538588215951e-17,1.2932663937037088e-16
109,1.1000000000000001e-10,9.326076441027183e-17,1.266017590875827e-16
110,1.11e-10,8.55899589686398e-17,1.2550545279443612e-16
111,1.1200000000000001e-10,9.016667022678685e-17,1.3234197944834854e-16
112,1.1300000000000001e-10,8.828915710529094e-17,1.2845169985144493e-16
113,1.1400000000000001e-10,9.089877897335043e-17,1.296922708636636e-16
114,1.15e-10,8.598541852256648e-17,1.360677463214857e-16
115,1.1600000000000001e-10,9.102984167210722e-17,1.3324001051728718e-16
116,1.17e-10,8.89458107380209e-17,1.3406148154993545e-16
117,1.18e-10,9.121752113180161e-17,1.3313351653896065e-16
118,1.19e-10,8.949700253106225e-17,1.3725917565698938e-16
119,1.2e-10,8.751055838881573e-17,1.345366407002798e-16
120,1.2100000000000002e-10,9.097915381770341e-17,1.3438571274555486e-16
121,1.2200000000000002e-10,9.278961033346974e-17,1.3642755344580686e-16
122,1.2300000000000001e-10,8.347616622606686e-17,1.2319391132378864e-16
123,1.24e-10,8.68377208208727e-17,1.29663339798099e-16
124,1.25e-10,9.455929124205056e-17,1.3976904581827958e-16
125,1.26e-10,9.201266087025308e-17,1.3430437308085055e-16
