,Time,PET
0,1e-12,4.877563951937965e-17
1,2e-12,4.987960208912713e-17
2,3e-12,7.408081360842967e-17
3,4e-12,6.593319126580627e-17
4,5.0000000000000005e-12,8.375925561486664e-17
5,6e-12,8.96183700095139e-17
6,7.000000000000001e-12,7.956579272040764e-17
7,8e-12,8.935899426577876e-17
8,9.000000000000001e-12,1.006652643707666e-16
9,1.0000000000000001e-11,1.1016090009529661e-16
10,1.1e-11,1.2467608036182745e-16
11,1.2e-11,1.3147614127429124e-16
12,1.3e-11,1.3814025435600873e-16
13,1.4000000000000002e-11,1.4735569501314743e-16
14,1.5e-11,1.6317840705566627e-16
15,1.6e-11,1.6065730958867054e-16
16,1.7000000000000003e-11,1.6738537284860462e-16
17,1.8000000000000002e-11,1.8291040183525662e-16
18,1.9000000000000002e-11,1.8895576376750124e-16
19,2.0000000000000002e-11,1.8228166761574014e-16
20,2.1000000000000002e-11,2.105287889903211e-16
21,2.2e-11,2.0670952334778898e-16
22,2.3e-11,1.9893141483443139e-16
23,2.4e-11,2.1670550783641054e-16
24,2.5e-11,2.1515401486403013e-16
25,2.6e-11,2.252357637356502e-16
26,2.7000000000000004e-11,2.5599859291336275e-16
27,2.8000000000000003e-11,2.629215147701211e-16
28,2.9000000000000003e-11,2.434199893581484e-16
29,3e-11,2.5903252911383313e-16
30,3.1e-11,2.721545405095113e-16
31,3.2e-11,2.754184605994156e-16
32,3.3e-11,2.717803731759929e-16
33,3.4000000000000005e-11,2.8034397206400763e-16
34,3.5e-11,2.7183220713719446e-16
35,3.6000000000000005e-11,2.770738874003328e-16
36,3.7e-11,2.8301590753740873e-16
37,3.8000000000000004e-11,2.7419424561055246e-16
38,3.9e-11,3.185119291766763e-16
39,4.0000000000000004e-11,3.086136987414873e-16
40,4.1e-11,3.131290992606533e-16
41,4.2000000000000004e-11,3.288996165340088e-16
42,4.3e-11,3.20352681441247e-16
43,4.4e-11,3.1013127423320145e-16
44,4.5000000000000006e-11,3.250429118657098e-16
45,4.6e-11,3.3039505782414764e-16
46,4.7000000000000006e-11,3.214379640616205e-16
47,4.8e-11,3.149545669513854e-16
48,4.9000000000000005e-11,3.200890486514085e-16
49,5e-11,3.12493366955715e-16
50,5.1000000000000005e-11,3.219232605266046e-16
51,5.2e-11,3.135525671223813e-16
52,5.3000000000000004e-11,3.1036411600491603e-16
53,5.400000000000001e-11,3.350238510852001e-16
54,5.5000000000000004e-11,3.373988157636137e-16
55,5.600000000000001e-11,3.270235024484346e-16
56,5.7000000000000003e-11,3.3256626161386567e-16
57,5.8000000000000007e-11,3.449832045812822e-16
58,5.9e-11,3.558796075958645e-16
59,6e-11,3.4629580812503796e-16
60,6.100000000000001e-11,3.4019724101400283e-16
61,6.2e-11,3.69268403497334e-16
62,6.3e-11,3.8779423707429956e-16
63,6.4e-11,3.7923153051585416e-16
64,6.500000000000001e-11,3.674501171770736e-16
65,6.6e-11,3.964536384766554e-16
66,6.7e-11,3.9008362010312143e-16
67,6.800000000000001e-11,3.98088310542932e-16
68,6.900000000000001e-11,3.8486773461236617e-16
69,7e-11,3.9062766861956365e-16
70,7.1e-11,3.820669905400283e-16
71,7.200000000000001e-11,3.990054394165006e-16
72,7.3e-11,3.964845463006477e-16
73,7.4e-11,3.818362023209542e-16
74,7.5e-11,4.0497870538209727e-16
75,7.600000000000001e-11,3.841550898292972e-16
76,7.7e-11,3.8518619453471327e-16
77,7.8e-11,4.0064001094632374e-16
78,7.900000000000001e-11,4.055481786872939e-16
79,8.000000000000001e-11,3.914742882944202e-16
80,8.1e-11,3.985501099164792e-16
81,8.2e-11,3.866384592349085e-16
82,8.300000000000001e-11,3.816779892704963e-16
83,8.400000000000001e-11,4.0509128083499853e-16
84,8.5e-11,4.087150953008052e-16
85,8.6e-11,3.975867049329928e-16
86,8.700000000000001e-11,4.0670995244664023e-16
87,8.8e-11,4.0716766315814034e-16
88,8.9e-11,3.8143849174611913e-16
89,9.000000000000001e-11,3.945163799576844e-16
90,9.100000000000001e-11,4.25918323469127e-16
91,9.2e-11,3.9466235196805483e-16
92,9.3e-11,3.9539010273054187e-16
93,9.400000000000001e-11,4.028400099579459e-16
94,9.500000000000001e-11,4.095955060945688e-16
95,9.6e-11,4.1203941117813743e-16
96,9.7e-11,4.302177494609896e-16
97,9.800000000000001e-11,4.132105796622668e-16
98,9.900000000000001e-11,4.2957663470416448e-16
99,1e-10,4.286684011343347e-16
100,1.0100000000000001e-10,4.285330009267424e-16
101,1.0200000000000001e-10,4.1924351670082093e-16
102,1.03e-10,4.3579053242940393e-16
103,1.04e-10,4.3548972951418795e-16
104,1.0500000000000001e-10,4.400280799352714e-16
105,1.0600000000000001e-10,4.44389449053873e-16
106,1.07e-10,4.414867974883908e-16
107,1.0800000000000001e-10,4.504024935193011e-16
108,1.0900000000000001e-10,4.4283523833699664e-16
109,1.1000000000000001e-10,4.502048734969068e-16
110,1.11e-10,4.4350929506966787e-16
111,1.1200000000000001e-10,4.402644622385946e-16
112,1.1300000000000001e-10,4.379608115002154e-16
113,1.1400000000000001e-10,4.4207342617409835e-16
114,1.15e-10,4.3668828026611046e-16
115,1.1600000000000001e-10,4.486051131752329e-16
116,1.17e-10,4.64686922862132e-16
117,1.18e-10,4.409340485205071e-16
118,1.19e-10,4.367861533756416e-16
119,1.2e-10,4.492857773608317e-16
120,1.2100000000000002e-10,4.483282890626474e-16
121,1.2200000000000002e-10,4.666585347424711e-16
122,1.2300000000000001e-10,4.536298812062288e-16
123,1.24e-10,4.610897388221391e-16
124,1.25e-10,4.75618810219358e-16
125,1.26e-10,4.702215710668038e-16
126,1.27e-10,4.66244108746388e-16
127,1.28e-10,4.822795112017317e-16
