,Time,BUT,PET
0,1e-12,8.912824303186765e-17,6.390090061881879e-17
1,2e-12,1.4678332711701866e-16,1.2031677923855838e-16
2,3e-12,2.3730474437638703e-16,1.8744806309037152e-16
3,4e-12,2.4779978419439004e-16,1.9906237195888739e-16
4,5.0000000000000005e-12,3.324887264251422e-16,2.4498873066057915e-16
5,6e-12,3.9710052108279214e-16,2.863419908702059e-16
6,7.000000000000001e-12,4.572160423492302e-16,2.9283697678091004e-16
7,8e-12,4.759778074891425e-16,3.4524237939675593e-16
8,9.000000000000001e-12,5.132198245749631e-16,3.4773736809981516e-16
9,1.0000000000000001e-11,5.317152043901225e-16,3.5363375380659693e-16
