,Time,PET,BUT
0,1e-12,5.476037900425283e-17,1.222519886237688e-16
1,2e-12,7.059614527455228e-17,1.496184919016992e-16
2,3e-12,1.0377896319664431e-16,1.7101635298627721e-16
3,4e-12,1.2398459798386744e-16,2.3081096708673877e-16
4,5.0000000000000005e-12,1.193064729801041e-16,2.0966227257813292e-16
5,6e-12,1.2296049647092988e-16,2.2191962028908992e-16
6,7.000000000000001e-12,1.227480213971856e-16,2.5979539234800533e-16
7,8e-12,1.3342398254301664e-16,2.4445107516309084e-16
8,9.000000000000001e-12,1.2850031494340868e-16,2.827345677756383e-16
9,1.0000000000000001e-11,1.3583870865513715e-16,3.054225929631569e-16
10,1.1e-11,1.282301535588952e-16,2.6423859521183705e-16
11,1.2e-11,1.26368987252265e-16,2.804781820952864e-16
12,1.3e-11,1.4962223725987828e-16,2.774232040813051e-16
13,1.4000000000000002e-11,1.489989713880523e-16,2.8033126406033653e-16
14,1.5e-11,1.726049008844554e-16,3.1671188961361635e-16
15,1.6e-11,1.7256989555108344e-16,3.3327545402415213e-16
16,1.7000000000000003e-11,1.753499566450691e-16,3.21858802661403e-16
17,1.8000000000000002e-11,1.6514263803584198e-16,3.122990208510982e-16
18,1.9000000000000002e-11,1.6938717172214308e-16,3.437883662115408e-16
19,2.0000000000000002e-11,1.7366972384063464e-16,3.455203065690317e-16
20,2.1000000000000002e-11,1.6085569695035986e-16,3.762495675843698e-16
21,2.2e-11,1.7279710846496495e-16,3.5490515837547553e-16
22,2.3e-11,1.7092953155740224e-16,3.556732140695094e-16
23,2.4e-11,1.6732376276523554e-16,3.914775756150376e-16
24,2.5e-11,1.9331067212030838e-16,3.6170055437199226e-16
25,2.6e-11,1.9852250221053068e-16,3.7755055499142236e-16
26,2.7000000000000004e-11,1.9229937697779716e-16,3.644971600034204e-16
27,2.8000000000000003e-11,1.942259075954662e-16,4.362253295542621e-16
28,2.9000000000000003e-11,2.1689788832344932e-16,4.081553760406098e-16
29,3e-11,2.330661159456839e-16,4.551467963590673e-16
30,3.1e-11,2.3250471809603334e-16,4.46903982325091e-16
31,3.2e-11,2.3029231289207547e-16,4.622026738479905e-16
32,3.3e-11,2.3033190456699266e-16,4.788125779435883e-16
33,3.4000000000000005e-11,2.449576180407874e-16,5.015789133108162e-16
34,3.5e-11,2.389179395599196e-16,4.75665263151601e-16
35,3.6000000000000005e-11,2.34942052273053e-16,4.863037200019529e-16
36,3.7e-11,2.4586146172276035e-16,4.699402928515251e-16
37,3.8000000000000004e-11,2.516799848285665e-16,4.443427174539378e-16
38,3.9e-11,2.2167098183722991e-16,4.836949748518589e-16
39,4.0000000000000004e-11,2.4432128873348624e-16,5.032345468344423e-16
40,4.1e-11,2.2707746903518194e-16,4.994418301765522e-16
41,4.2000000000000004e-11,2.5454105402198474e-16,5.387994793386733e-16
42,4.3e-11,2.973928532486213e-16,5.105549795897247e-16
43,4.4e-11,2.7646169609943347e-16,5.623184921670992e-16
44,4.5000000000000006e-11,2.6617998393364127e-16,5.295926964163962e-16
45,4.6e-11,2.8654101903307503e-16,5.388033268264469e-16
46,4.7000000000000006e-11,2.9044739444314904e-16,5.160139385123613e-16
47,4.8e-11,3.0803322730524e-16,5.620497561329707e-16
48,4.9000000000000005e-11,3.057169191040784e-16,5.81376635482989e-16
49,5e-11,3.1013133344712916e-16,5.589825422127056e-16
50,5.1000000000000005e-11,3.205987932648737e-16,5.28451540809766e-16
51,5.2e-11,2.9903008943163497e-16,5.914614297902165e-16
52,5.3000000000000004e-11,3.295751820703739e-16,5.825246968156165e-16
53,5.400000000000001e-11,3.2250094477892754e-16,5.770969359808955e-16
54,5.5000000000000004e-11,3.2237355273402254e-16,5.819673447741086e-16
55,5.600000000000001e-11,3.198307850256172e-16,5.809919538165327e-16
56,5.7000000000000003e-11,3.2598360451675516e-16,5.766254065106207e-16
57,5.8000000000000007e-11,2.9884455872243297e-16,6.01827450492721e-16
58,5.9e-11,3.2389666134717426e-16,6.031989419916957e-16
59,6e-11,2.987309682727546e-16,5.663006115383364e-16
60,6.100000000000001e-11,3.053228153246019e-16,6.296354705973197e-16
61,6.2e-11,3.0088576872301166e-16,5.808928394262402e-16
62,6.3e-11,3.2489093493355106e-16,5.887948628209791e-16
63,6.4e-11,3.272456035180327e-16,6.071460977354438e-16
64,6.500000000000001e-11,3.0969299272897246e-16,5.9237772034858e-16
65,6.6e-11,3.2316584441394246e-16,6.378453816590777e-16
66,6.7e-11,3.034887822892278e-16,6.035564072702898e-16
67,6.800000000000001e-11,3.2878833437606104e-16,6.658309138743734e-16
68,6.900000000000001e-11,3.175721420769519e-16,6.853666133352074e-16
69,7e-11,3.344637436120309e-16,7.240318718217127e-16
70,7.1e-11,3.223488640369358e-16,6.735904809614407e-16
71,7.200000000000001e-11,3.2015733855983226e-16,6.457328242307446e-16
72,7.3e-11,3.317795567404277e-16,6.681615878327655e-16
73,7.4e-11,3.4157099042715405e-16,6.643246606733238e-16
74,7.5e-11,3.113249870298208e-16,6.454202330969885e-16
75,7.600000000000001e-11,3.507566020607046e-16,6.603791678341239e-16
76,7.7e-11,3.5074141078581417e-16,6.343035722800424e-16
77,7.8e-11,3.149427907111865e-16,6.669765621003377e-16
78,7.900000000000001e-11,3.22120257766356e-16,6.334872598780927e-16
79,8.000000000000001e-11,3.396701437608123e-16,6.726622801995933e-16
80,8.1e-11,3.4699439496452876e-16,6.935197481268333e-16
81,8.2e-11,3.402022697869297e-16,6.595406974955684e-16
82,8.300000000000001e-11,3.2700763250169526e-16,6.525163259602777e-16
83,8.400000000000001e-11,3.219538944793518e-16,6.553587654981847e-16
