,compound,x,Temperature,rho,w_mass,w_vol,time,D,Viscosity,D0,E
0,butanol,100.0,13.0,0.7,100.0,100.0,127.76,77337.83783783781,3.700000000000001,294247430.08677375,19660.651840746672
1,butanol,100.0,13.100000000000023,0.7,100.0,100.0,87.72413793103448,77545.60700313438,3.6913793103448254,294247430.08677375,19660.651840746672
2,butanol,100.0,13.199999999999989,0.7,100.0,100.0,101.25,77868.04097621703,3.6774999999999998,294247430.08677375,19660.651840746672
3,butanol,100.0,13.300000000000011,0.7,100.0,100.0,10.75,78695.05494505494,3.6399999999999997,294247430.08677375,19660.651840746672
4,butanol,100.0,13.399999999999977,0.7,100.0,100.0,199.5,77445.9459459459,3.700000000000001,294247430.08677375,19660.651840746672
5,butanol,100.0,13.5,0.6999999999999998,100.0,100.0,222.0,77472.97297297303,3.699999999999997,294247430.08677375,19660.651840746672
6,butanol,100.0,13.600000000000023,0.7,100.0,100.0,222.47058823529412,77499.99999999999,3.7000000000000006,294247430.08677375,19660.651840746672
7,butanol,100.0,13.699999999999989,0.7,100.0,100.0,223.11111111111111,77737.12737127369,3.690000000000001,294247430.08677375,19660.651840746672
8,butanol,100.0,13.800000000000011,0.7,100.0,100.0,243.5,77764.22764227637,3.6900000000000026,294247430.08677375,19660.651840746672
9,butanol,100.0,13.899999999999977,0.7,100.0,100.0,245.5,77791.32791327909,3.6900000000000013,294247430.08677375,19660.651840746672
10,butanol,100.0,14.0,0.7,100.0,100.0,273.2857142857143,78242.50681198912,3.669999999999998,294247430.08677375,19660.651840746672
11,butanol,100.0,14.100000000000023,0.7,100.0,100.0,265.77777777777777,78269.7547683924,3.6699999999999986,294247430.08677375,19660.651840746672
12,butanol,100.0,14.199999999999989,0.7,100.0,100.0,261.0,78297.00272479559,3.670000000000002,294247430.08677375,19660.651840746672
13,butanol,100.0,14.300000000000011,0.6999999999999998,100.0,100.0,323.0,78538.25136612027,3.659999999999998,294247430.08677375,19660.651840746672
14,butanol,100.0,14.399999999999977,0.7,100.0,100.0,317.8181818181818,78565.57377049171,3.6600000000000037,294247430.08677375,19660.651840746672
15,butanol,100.0,14.5,0.7,100.0,100.0,308.1,78592.89617486337,3.660000000000001,294247430.08677375,19660.651840746672
16,butanol,100.0,14.600000000000023,0.7,100.0,100.0,368.0,79052.19780219776,3.6400000000000023,294247430.08677375,19660.651840746672
17,butanol,100.0,14.699999999999989,0.7,100.0,100.0,412.22222222222223,79297.520661157,3.6300000000000003,294247430.08677375,19660.651840746672
18,butanol,100.0,14.800000000000011,0.7,100.0,100.0,400.1578947368421,79325.06887052346,3.6299999999999977,294247430.08677375,19660.651840746672
19,butanol,100.0,14.899999999999977,0.7,100.0,100.0,465.85915492957747,79792.24376731298,3.6100000000000008,294247430.08677375,19660.651840746672
20,butanol,100.0,15.0,0.7,100.0,100.0,552.6923076923077,80041.66666666663,3.6000000000000014,294247430.08677375,19660.651840746672
21,butanol,100.0,15.100000000000023,0.6999999999999998,100.0,100.0,574.0,80069.4444444445,3.5999999999999974,294247430.08677375,19660.651840746672
22,butanol,100.0,15.199999999999989,0.6999999999999998,100.0,100.0,609.0,80770.30812324923,3.5700000000000025,294247430.08677375,19660.651840746672
23,butanol,100.0,15.300000000000011,0.7,100.0,100.0,603.9230769230769,80798.31932773108,3.5700000000000003,294247430.08677375,19660.651840746672
24,butanol,100.0,15.399999999999977,0.7,100.0,100.0,593.75,80713.44459571538,3.5749999999999993,294247430.08677375,19660.651840746672
25,butanol,100.0,15.5,0.7,100.0,100.0,650.5,81309.8591549296,3.5499999999999994,294247430.08677375,19660.651840746672
26,butanol,100.0,15.600000000000023,0.7,100.0,100.0,638.5,81338.02816901413,3.5499999999999985,294247430.08677375,19660.651840746672
27,butanol,100.0,15.699999999999989,0.7,100.0,100.0,703.0185185185185,81596.04519774014,3.539999999999998,294247430.08677375,19660.65184074667
28,butanol,100.0,15.800000000000011,0.7,100.0,100.0,791.74,82088.06818181823,3.519999999999998,294247430.08677375,19660.651840746672
29,butanol,100.0,15.899999999999977,0.7,100.0,100.0,880.6290322580645,82116.47727272724,3.520000000000001,294247430.08677375,19660.651840746672
30,butanol,100.0,16.0,0.7,100.0,100.0,1018.4666666666667,82378.91737891737,3.5100000000000002,294247430.08677375,19660.651840746672
31,butanol,100.0,16.100000000000023,0.6999999999999998,100.0,100.0,1043.0,82407.40740740739,3.5100000000000002,294247430.08677375,19660.651840746672
32,butanol,100.0,16.19999999999999,0.7,100.0,100.0,1045.0,82435.89743589741,3.5100000000000002,294247430.08677375,19660.651840746672
33,butanol,100.0,16.399999999999977,0.7,100.0,100.0,1048.5,82965.6160458453,3.4899999999999984,294247430.08677375,19660.651840746672
34,butanol,100.0,16.5,0.7,100.0,100.0,1077.5,83232.7586206896,3.4800000000000026,294247430.08677375,19660.651840746672
35,butanol,100.0,16.600000000000023,0.7,100.0,100.0,1070.0,83261.49425287361,3.4799999999999978,294247430.08677375,19660.651840746672
36,butanol,100.0,16.69999999999999,0.7,100.0,100.0,1058.0,83170.90290814472,3.485000000000002,294247430.08677375,19660.651840746672
37,butanol,100.0,16.80000000000001,0.7,100.0,100.0,1057.5,83080.22922636106,3.489999999999999,294247430.08677375,19660.651840746672
38,butanol,100.0,16.899999999999977,0.7,100.0,100.0,1091.5,84072.46376811591,3.4500000000000006,294247430.08677375,19660.651840746672
39,butanol,100.0,17.0,0.7,100.0,100.0,1124.5,84591.83673469386,3.4300000000000006,294247430.08677375,19660.651840746672
40,butanol,100.0,17.100000000000023,0.7,100.0,100.0,1121.6666666666667,84620.99125364424,3.430000000000003,294247430.08677375,19660.651840746672
41,butanol,100.0,17.19999999999999,0.6999999999999998,100.0,100.0,1118.1666666666667,84650.14577259474,3.43,294247430.08677375,19660.651840746672
42,butanol,100.0,17.30000000000001,0.7,100.0,100.0,1109.0,84679.30029154514,3.4300000000000024,294247430.08677375,19660.651840746672
43,butanol,100.0,17.5,0.6999999999999998,100.0,100.0,1169.1666666666667,85485.29411764706,3.4,294247430.08677375,19660.651840746672
44,butanol,100.0,17.600000000000023,0.7,100.0,100.0,1161.5714285714287,85514.705882353,3.3999999999999977,294247430.08677375,19660.651840746672
45,butanol,100.0,17.69999999999999,0.7,100.0,100.0,1153.5,85544.1176470589,3.399999999999997,294247430.08677375,19660.651840746672
46,butanol,100.0,17.80000000000001,0.7,100.0,100.0,1146.0,85573.52941176474,3.3999999999999986,294247430.08677375,19660.651840746672
47,butanol,100.0,17.899999999999977,0.6999999999999998,100.0,100.0,1213.5,86622.02380952377,3.360000000000001,294247430.08677375,19660.651840746672
48,butanol,100.0,18.0,0.7,100.0,100.0,1195.5,86394.65875370914,3.3700000000000023,294247430.08677375,19660.651840746672
49,butanol,100.0,18.100000000000023,0.7,100.0,100.0,1189.5,86424.33234421365,3.3699999999999997,294247430.08677375,19660.651840746672
50,butanol,100.0,18.19999999999999,0.7,100.0,100.0,1251.0333333333333,87230.53892215571,3.3399999999999985,294247430.08677375,19660.651840746672
51,butanol,100.0,18.30000000000001,0.7,100.0,100.0,1237.0,87260.47904191617,3.34,294247430.08677375,19660.651840746672
52,butanol,100.0,18.399999999999977,0.7,100.0,100.0,1281.0,88081.57099697889,3.3099999999999983,294247430.08677375,19660.651840746672
53,butanol,100.0,18.5,0.7,100.0,100.0,1282.5,88111.78247734142,3.3099999999999987,294247430.08677375,19660.651840746672
54,butanol,100.0,18.600000000000023,0.7,100.0,100.0,1314.0,88409.09090909084,3.3000000000000034,294247430.08677375,19660.651840746672
